Point1,Point2,ActualCost
C,A,1.4025708000000001
A,B,2.4596865
C,B,1.3451467
A,C,5.6234269
B,C,28.0923533
B,A,27.3662698
C,A,1.3619059
A,B,3.3346783
C,B,1.3441907
A,C,5.482662400000001
B,C,27.3143889
B,A,27.2883412
C,A,1.344121
A,B,2.6165314
C,B,1.3937478
A,C,5.812238
B,C,27.362528100000002
B,A,28.3004177
C,A,1.6290344
A,B,3.0388099
C,B,1.5022162
A,C,6.6235569000000005
B,C,28.6432544
B,A,27.7837708
C,A,1.4059333
A,B,2.5830957999999997
C,B,1.4105831
A,C,6.704952499999999
B,C,27.6113795
B,A,28.5964773
C,A,1.3907111
A,B,2.5032528
C,B,1.4148427
A,C,5.7624813
B,C,27.141032
B,A,28.231191499999998
C,A,1.4810098
A,B,3.0016519
C,B,1.5922876
A,C,6.2919087
B,C,26.9114357
B,A,27.686536199999995
C,A,1.3388875
A,B,3.4854254
C,B,1.3534167
A,C,4.7410242
B,C,27.2291993
B,A,26.8941582
C,A,1.4171008999999999
A,B,2.9221931
C,B,1.3444495
A,C,6.2523017
B,C,27.6650242
B,A,27.2533337
C,A,1.345117
A,B,3.15807
C,B,1.4211524
A,C,5.1790092
B,C,28.606878700000003
B,A,27.2887701
C,A,1.3967794
A,B,3.8004057999999996
C,B,1.3585409
A,C,5.006229
B,C,27.5410374
B,A,27.802699100000005
C,A,1.5049295
A,B,3.2071601000000003
C,B,1.3484452
A,C,5.752764
B,C,27.918468599999997
B,A,27.368619
C,A,1.3457763
A,B,3.3224119
C,B,1.3492431999999999
A,C,5.5275015
B,C,27.9029581
B,A,26.842495399999997
C,A,1.3577901
A,B,2.6393843999999995
C,B,1.345069
A,C,7.014325299999999
B,C,27.4578268
B,A,26.8683557
C,A,1.4196417
A,B,2.7248047000000004
C,B,1.4000091000000001
A,C,6.0084613
B,C,27.531143
B,A,28.4464633
C,A,1.4245975
A,B,3.2576259
C,B,1.4249131000000002
A,C,7.9875061
B,C,27.8710754
B,A,26.7704251
C,A,1.3993294
A,B,3.1720757
C,B,1.3979968
A,C,7.9104017
B,C,26.8425354
B,A,26.7433089
C,A,1.4077433000000001
A,B,2.888516
C,B,1.3441783999999999
A,C,8.2723761
B,C,27.6178544
B,A,28.6155717
C,A,1.5031207
A,B,2.5042428
C,B,1.3450911
A,C,10.0003749
B,C,27.832539
B,A,28.0603781
C,A,1.3984729
A,B,3.1187085
C,B,1.4135863000000002
A,C,7.607250099999999
B,C,28.4571938
B,A,26.9928181
C,A,1.3572567
A,B,3.4422429
C,B,1.3529673
A,C,8.065886500000001
B,C,27.3620482
B,A,27.2251224
C,A,1.348216
A,B,3.3659023
C,B,1.4120013
A,C,5.827390599999999
B,C,28.038650899999997
B,A,27.8848734
C,A,1.4043634
A,B,2.8493612
C,B,1.4138543
A,C,7.7068772
B,C,27.5461602
B,A,29.9880636
C,A,1.4194048
A,B,3.6577235
C,B,1.3384578999999999
A,C,7.7930985
B,C,27.7061418
B,A,27.7388795
C,A,1.3508785
A,B,3.3097007
C,B,1.4089693
A,C,11.758667599999999
B,C,28.3770159
B,A,29.5358233
C,A,1.5145183999999998
A,B,3.012368
C,B,1.3948783000000002
A,C,10.947708
B,C,27.6125895
B,A,26.9791495
C,A,1.3662702
A,B,3.2686735
C,B,1.3437968
A,C,7.4435255
B,C,26.8566255
B,A,27.5754851
C,A,1.332949
A,B,2.8336911
C,B,1.4105086000000002
A,C,5.6188208
B,C,27.5614139
B,A,26.752037400000003
C,A,1.3964988
A,B,2.3477243
C,B,1.4030928
A,C,7.095171400000001
B,C,28.9779184
B,A,27.7773084
C,A,1.4195053
A,B,2.7448354
C,B,1.4817403
A,C,5.7209053
B,C,29.1390609
B,A,27.901010600000003
C,A,1.3435491
A,B,2.7950274
C,B,1.3511303
A,C,7.3796125
B,C,27.596113199999998
B,A,26.9276788
C,A,1.346134
A,B,3.25552
C,B,1.5907915
A,C,14.0267555
B,C,29.2338905
B,A,27.725161100000005
C,A,1.4021037
A,B,2.9072352
C,B,1.4759733
A,C,4.3900669
B,C,28.8910654
B,A,27.1219177
C,A,1.3481372
A,B,2.3648341
C,B,1.4050632
A,C,3.1327304
B,C,27.0893327
B,A,27.9513541
C,A,1.3484056999999998
A,B,2.6139884
C,B,1.4020674
A,C,5.572672799999999
B,C,26.8664808
B,A,27.419884200000002
C,A,1.3419145
A,B,2.8384212000000004
C,B,1.4032799999999999
