Point1,Point2,ActualCost
C,A,1.3527608999999998
A,B,3.1617667
C,B,1.3404538
A,C,7.7164507
B,C,27.6189113
B,A,27.8655792
C,A,1.3506648
A,B,2.8722355999999998
C,B,1.3508301
A,C,7.059816199999999
B,C,27.2813783
B,A,27.7884096
C,A,1.3362365
A,B,3.2447179
C,B,1.3526885
A,C,5.422737799999999
B,C,28.216843100000006
B,A,27.3682249
C,A,1.4062121
A,B,3.8596875
C,B,1.4053701
A,C,5.3712859
B,C,28.2455914
B,A,27.5185852
C,A,1.3343041000000002
A,B,3.5946505
C,B,1.3459183000000001
A,C,4.7939619
B,C,28.172418100000005
B,A,26.896838399999996
C,A,1.3543739
A,B,3.1836359
C,B,1.6753359
A,C,3.9320049
B,C,26.8458027
B,A,26.883344399999995
C,A,1.3483491
A,B,2.8739582
C,B,1.3997543
A,C,3.6811146
B,C,27.8175299
B,A,27.737011
C,A,1.4213997999999999
A,B,3.1813214
C,B,1.4046403
A,C,5.8735949
B,C,27.4616536
B,A,26.8382694
C,A,1.3567561
A,B,3.6248862
C,B,1.4845201
A,C,6.2875622
B,C,27.4627399
B,A,26.8165828
C,A,1.4077585
A,B,3.1821173
C,B,1.411612
A,C,5.2927179
B,C,27.5150349
B,A,27.5344325
C,A,1.3493977
A,B,3.678337
C,B,1.3495528
A,C,5.9429565
B,C,27.3268526
B,A,27.4532588
C,A,1.3549457
A,B,3.7177397000000005
C,B,1.4166291000000002
A,C,5.4312043
B,C,27.6836034
B,A,27.022497100000002
C,A,1.3514181
A,B,3.1183679
C,B,1.4561488
A,C,5.1002231
B,C,26.9694745
B,A,27.3775495
C,A,1.3476604
A,B,4.1505527
C,B,1.4245108
A,C,9.0360007
B,C,27.4493429
B,A,26.8893633
C,A,1.6689391
A,B,4.1648564
C,B,1.3428816000000001
A,C,7.1622753
B,C,27.451485100000003
B,A,26.8420164
C,A,1.3436064
A,B,2.9100247
C,B,1.342306
A,C,5.663709099999999
B,C,28.732384399999997
B,A,27.2979033
C,A,1.4062028
A,B,3.999537
C,B,1.41658
A,C,6.5356163
B,C,27.9318424
B,A,27.099349800000002
C,A,1.353055
A,B,3.5551894
C,B,1.4008736
A,C,5.380366099999999
B,C,27.1204072
B,A,26.9461192
C,A,1.3378948
A,B,4.421891
C,B,1.4114612
A,C,9.686496
B,C,27.6147433
B,A,27.396531500000002
C,A,1.4101174
A,B,2.9061499
C,B,1.3676513000000001
A,C,6.0953344000000005
B,C,27.6092198
B,A,27.586512300000003
C,A,1.4068441999999999
A,B,2.9759578
C,B,1.4819227
A,C,8.2888117
B,C,27.5651327
B,A,27.3596899
C,A,1.3479454
A,B,3.9258404000000002
C,B,1.4213165
A,C,9.1893506
B,C,27.532528600000003
B,A,27.4794312
C,A,1.3553184
A,B,2.9710707000000003
C,B,1.4875592
A,C,8.7481158
B,C,26.8628371
B,A,26.9654636
C,A,1.3505973
A,B,4.0591408
C,B,1.3372438999999998
A,C,7.600673
B,C,27.584316100000002
B,A,27.0164668
C,A,1.3980391
A,B,2.9130346
C,B,1.3491227
A,C,8.887077900000001
B,C,27.4348244
B,A,26.8238896
C,A,1.3969506999999999
A,B,3.5852813
C,B,1.4069587
A,C,4.5258709
B,C,27.3841708
B,A,27.1914737
C,A,1.4121493
A,B,3.3523144
C,B,1.4056751
A,C,5.0930978
B,C,28.0853837
B,A,27.1426983
C,A,1.3461543
A,B,3.0978717999999996
C,B,1.3370651000000002
A,C,4.4030428
B,C,27.9119643
B,A,26.9329067
C,A,1.3442332000000001
A,B,3.1019843999999996
C,B,1.4099190000000001
A,C,5.7223117
B,C,27.5062494
B,A,27.100453499999997
C,A,1.3312025
A,B,3.7909157
C,B,1.4011431
A,C,4.7793441
B,C,28.5207075
B,A,27.503955100000002
C,A,1.4164195
A,B,3.2438145
C,B,1.4048399
A,C,3.7743479
B,C,27.518878700000002
B,A,27.465553200000002
C,A,1.3441802999999999
A,B,4.236669999999999
C,B,1.4048503
A,C,5.4221742
B,C,27.4105213
B,A,27.6381527
C,A,1.3463798
A,B,3.2082672000000003
C,B,1.3458266
A,C,4.2717476
B,C,27.764219399999995
B,A,27.5048348
C,A,1.4026306999999998
A,B,3.8484076000000003
C,B,1.3542534
A,C,4.2244539
B,C,27.573752
B,A,27.431712599999997
C,A,1.4025656000000002
A,B,3.2263528
C,B,1.4021162
A,C,4.2645067999999995
B,C,27.8900505
B,A,27.4228778
C,A,1.3414893
A,B,3.2247098
C,B,1.3655687
A,C,4.0931538
B,C,27.4517044
B,A,27.2570161
C,A,1.407621
A,B,3.5481941
C,B,1.3463048999999998
A,C,4.5201310999999995
B,C,27.8972689
B,A,27.6248107
C,A,1.3481919
A,B,4.5545761
C,B,1.4117425
A,C,4.8494712
B,C,27.558584999999997
B,A,27.9438762
C,A,1.4045691999999999
A,B,3.0740070999999998
C,B,1.4020562
A,C,4.4259288
B,C,27.6632605
B,A,26.899477
C,A,1.344285
A,B,3.789828
C,B,1.4174145
A,C,4.3344676
B,C,28.271860800000002
B,A,27.5719975
C,A,1.4104348
A,B,3.7283573
C,B,1.3428813999999998
A,C,7.832387799999999
B,C,27.4599432
B,A,27.2667642
C,A,1.3403882
A,B,3.4744772000000004
C,B,1.3474801
A,C,7.2620436
B,C,27.8542421
B,A,27.0569482
C,A,1.4088933000000001
A,B,3.1838871
C,B,1.4769542
A,C,5.313042
B,C,27.843057399999996
B,A,28.1212218
C,A,1.3497248
A,B,3.8572296
C,B,1.4085979
A,C,5.2648760999999995
B,C,27.840632899999996
B,A,26.827489899999996
C,A,1.3608263
A,B,3.1193256000000003
C,B,1.3600976999999999
A,C,6.5716956
B,C,28.1621094
B,A,27.0077552
C,A,1.3876928999999998
A,B,3.6150447999999997
C,B,1.3543428999999998
A,C,6.778490799999999
B,C,27.6638416
B,A,29.251718199999996
C,A,1.4080665
A,B,3.5595826
C,B,1.3375343000000002
A,C,5.4426404
B,C,27.4979456
B,A,26.787119800000003
C,A,1.3893732
A,B,2.8821272999999996
C,B,1.3548928
A,C,6.3900616
B,C,26.8963314
B,A,27.0947535
C,A,1.4279948
A,B,4.2096105
C,B,1.337684
A,C,5.822840599999999
B,C,27.512815500000002
B,A,27.657398200000003
C,A,1.4049378000000001
A,B,3.036398
C,B,1.4018053
A,C,5.4608499
B,C,26.881169099999997
B,A,26.9641925
C,A,1.3415186
A,B,3.7410900000000002
C,B,1.4108036
A,C,5.1567334
B,C,27.5682276
B,A,27.4193287
C,A,1.4252989
A,B,3.3306709000000003
C,B,1.4071801000000002
A,C,5.9820087
B,C,27.9288248
B,A,27.8969803
C,A,1.4581169
A,B,3.3064217000000005
C,B,1.3716078
A,C,4.7241401
B,C,27.809254
B,A,27.5803712
C,A,1.4027914
A,B,4.1079339
C,B,1.4083266
A,C,4.1144393
B,C,27.4352225
B,A,27.8724924
C,A,1.631494
A,B,3.5095179
C,B,1.3879979
A,C,6.410300299999999
B,C,27.1571924
B,A,27.488409899999997
C,A,1.3497913
A,B,3.4864919999999997
C,B,1.4115354
A,C,6.7735071
B,C,27.1567578
B,A,26.896406
C,A,1.3938117
A,B,3.7294358
C,B,1.3559633
A,C,5.969147
B,C,27.0738447
B,A,27.8459472
C,A,1.3376796999999998
A,B,3.4397839999999995
C,B,1.3498758
A,C,7.2423972999999995
B,C,27.207374100000003
B,A,26.8303065
C,A,1.3308681999999998
A,B,4.0444703
C,B,1.3436877
A,C,5.528913200000001
B,C,26.929656599999998
B,A,27.761326399999998
C,A,1.4044158000000002
A,B,2.9781165
C,B,1.3544763000000002
A,C,5.517182
B,C,27.436773300000002
B,A,27.2920132
C,A,1.3443552
A,B,4.6846254
C,B,1.3568986
A,C,5.1498907
B,C,28.6447132
B,A,27.298548999999998
C,A,1.4157969
A,B,3.6815138
C,B,1.4093361999999998
A,C,6.3352747
B,C,27.7777634
B,A,26.9880231
C,A,1.3660291000000002
A,B,3.7285041
C,B,1.4075295
A,C,8.1088439
B,C,27.5559016
B,A,27.436107699999997
C,A,1.4057312
A,B,2.8723098
C,B,1.3994635
A,C,4.3203633
B,C,27.415101
B,A,26.923985300000002
C,A,1.3368538
A,B,3.4210415999999997
C,B,1.4078027
A,C,5.2424217
B,C,27.4028297
B,A,27.5744706
C,A,1.3456683999999999
A,B,4.0559405
C,B,1.3351576
A,C,5.0737561
B,C,28.0788548
B,A,27.4587791
C,A,1.3391053999999998
A,B,3.6012472
C,B,1.3606783000000002
A,C,5.1894654000000005
B,C,26.9139365
B,A,27.313997600000004
C,A,1.4011143
A,B,3.1601725
C,B,1.3905849
A,C,4.5450544
B,C,27.52041
B,A,27.461044
C,A,1.3379124
A,B,3.0559139
C,B,1.4258822
A,C,6.4232975
B,C,27.609606
B,A,26.905770399999998
C,A,1.4275492
A,B,3.5621917
C,B,1.3482992
A,C,5.2916723
B,C,26.901005800000004
B,A,27.2035566
C,A,1.41091
A,B,3.68812
C,B,1.4004563
A,C,4.0321133
B,C,27.443473100000002
B,A,27.308308
C,A,1.4605662
A,B,3.1619139
C,B,1.3374028
A,C,4.963015
B,C,27.493632
B,A,26.951945399999996
C,A,1.3487565000000001
A,B,7.3566313
C,B,1.3465387
A,C,8.4723808
B,C,27.7952968
B,A,27.0552195
C,A,1.6860593000000001
A,B,3.6823412
C,B,1.4199538999999999
A,C,5.4719481
B,C,26.885941100000004
B,A,26.901915399999996
C,A,1.4210077
A,B,3.7342491
C,B,1.408093
A,C,10.0381121
B,C,26.8540864
B,A,28.1065904
C,A,1.4682104999999999
A,B,3.1204417
C,B,1.3502924
A,C,5.3246803
B,C,27.5930907
B,A,27.1877659
C,A,1.3609870000000002
A,B,2.9073822
C,B,1.4090624
A,C,6.62754
B,C,27.8808093
B,A,27.340193900000003
C,A,1.3498111000000002
A,B,3.2020182
C,B,1.4009461
A,C,11.2540208
B,C,26.975506099999997
B,A,27.341212699999996
C,A,2.0300667
A,B,2.8473962999999998
C,B,1.4001458999999998
A,C,5.101573200000001
B,C,27.5327644
B,A,27.731973699999998
C,A,1.3472877
A,B,3.6668682999999995
C,B,1.4039393
A,C,4.9656044
B,C,27.6479768
B,A,27.2762236
C,A,1.404021
A,B,3.1233188
C,B,1.3984028
A,C,5.9148842
B,C,27.103734
B,A,27.6898803
C,A,1.4146975
A,B,2.9086311
C,B,1.409642
A,C,5.5703157999999995
B,C,27.5491979
B,A,27.097344
C,A,1.4024983999999998
A,B,2.7476847999999996
C,B,1.3467963
A,C,5.4875621
B,C,28.662768
B,A,27.7111994
C,A,1.4156525
A,B,2.8441123
C,B,1.4048761
A,C,5.8847912
B,C,27.786634000000003
B,A,27.4300454
C,A,1.3972415
A,B,4.158323
C,B,1.3513297
A,C,5.2784942
B,C,27.533555199999995
B,A,27.4519606
C,A,1.404326
A,B,2.8088206
C,B,1.4152796
A,C,5.9936246
B,C,27.6516732
B,A,27.496880100000002
C,A,1.3705742
A,B,3.6661094
C,B,1.4142331
A,C,5.3658598
B,C,27.4077924
B,A,27.404037300000002
C,A,1.4017349
A,B,3.2688499
C,B,1.4000633999999998
A,C,4.9270895
B,C,27.512084
B,A,27.169322499999996
C,A,1.4100623
A,B,3.6814719
C,B,1.4074335
A,C,6.2128385999999995
B,C,27.8256851
B,A,26.8114406
C,A,1.4840998
A,B,3.8883970000000003
C,B,1.4509711
A,C,5.4914962
B,C,27.204625099999998
B,A,28.1182332
C,A,1.4111438
A,B,3.620026
C,B,1.3948104
A,C,4.416218
B,C,27.4239726
B,A,26.8935402
C,A,1.3531317
A,B,2.4357231
C,B,1.3445475
A,C,6.470282900000001
B,C,27.3091705
B,A,28.135399699999997
C,A,1.3605194
A,B,3.7912481
C,B,1.3432723
A,C,7.8148632
B,C,27.9915689
B,A,27.7041561
C,A,1.4138695
A,B,4.2944927999999996
C,B,1.4002808
A,C,6.542353599999999
B,C,26.9015902
B,A,27.5459519
C,A,1.3929715
A,B,3.868553
C,B,1.7009729
A,C,8.3871761
B,C,28.3956817
B,A,27.789406099999997
C,A,1.4052559
A,B,3.4125872999999998
C,B,1.3440428
A,C,7.6712567
B,C,27.920276899999998
B,A,27.827032799999998
C,A,1.3410196
A,B,3.4768004
C,B,1.3448651000000003
A,C,5.5638161
B,C,27.4460145
B,A,26.9791831
C,A,1.3527243
A,B,3.4777136
C,B,1.3987032
A,C,4.4561764
B,C,27.753912699999997
B,A,27.0438475
C,A,1.3979448
A,B,4.3045898000000005
C,B,1.384727
A,C,6.873558
B,C,27.3460706
B,A,27.7962238
C,A,1.356568
A,B,4.4396249
C,B,1.4107903
A,C,5.236356400000001
B,C,27.6179782
B,A,28.2566206
C,A,1.7128516
A,B,4.3706239
C,B,1.4149853
A,C,5.800792
B,C,27.4916635
B,A,28.132619899999998
C,A,1.4013788
A,B,2.9118193
C,B,1.3423315
A,C,5.7187123
B,C,27.6177989
B,A,27.3585882
C,A,1.4027729
A,B,3.9812186
C,B,1.3474819
A,C,7.5041188
B,C,28.0811488
B,A,27.4093081
C,A,1.4158862
A,B,2.9977111
C,B,1.4152818
A,C,7.901827099999999
B,C,27.0343919
B,A,27.3568038
C,A,1.417597
A,B,2.6224925
C,B,1.3454868999999998
A,C,4.865475
B,C,27.5866262
B,A,27.2326406
C,A,1.4008111
A,B,3.7142601
C,B,1.4655459
A,C,5.0953109
B,C,27.9674118
B,A,27.9719508
C,A,1.4115126
A,B,4.1709987
C,B,1.4607141
A,C,7.0564489
B,C,28.5084761
B,A,27.889265
C,A,1.532931
A,B,2.9101805
C,B,1.4250905
A,C,11.987325300000002
B,C,29.1780023
B,A,27.6026124
C,A,1.4156182
A,B,3.3378682
C,B,1.4252402
A,C,10.5359654
B,C,27.593927500000003
B,A,27.7680752
C,A,1.3471251
A,B,2.9331512
C,B,1.4033773
A,C,14.0393263
B,C,27.531194899999996
B,A,28.9680419
C,A,1.4563309
A,B,3.8400913
C,B,1.433241
A,C,7.928472900000001
B,C,27.549017300000003
B,A,27.9507151
C,A,1.4056657
A,B,4.1060311
C,B,1.407673
A,C,8.7660679
B,C,28.087802500000002
B,A,27.4653203
C,A,1.4246546999999998
A,B,3.6790858999999996
C,B,1.4220353000000001
A,C,13.920947400000001
B,C,29.8717968
B,A,29.0947847
C,A,1.3365097
A,B,3.102673
C,B,1.342516
A,C,6.7875444
B,C,27.472673699999998
B,A,27.9739784
C,A,1.3490886
A,B,2.8088132000000003
C,B,1.3609706
A,C,8.2517716
B,C,28.4067801
B,A,28.452664399999996
C,A,1.3645053
A,B,7.7469241
C,B,1.4054223999999997
A,C,6.5754447
B,C,28.0633451
B,A,27.232587699999996
C,A,1.4190225
A,B,3.7691136
C,B,1.4890495000000001
A,C,5.6767762
B,C,28.1251252
B,A,27.261905300000002
C,A,1.4195757
A,B,3.258151
C,B,1.3968524
A,C,5.2309211
B,C,29.9658626
B,A,27.499091
C,A,1.46547
A,B,3.1201407000000003
C,B,1.3455466999999999
A,C,5.7445877
B,C,27.384615399999998
B,A,28.4382222
C,A,1.4151296999999998
A,B,4.6867389
C,B,1.4015503999999999
A,C,5.8591998
B,C,27.355324300000003
B,A,27.465362699999996
C,A,1.4080796
A,B,3.2064991
C,B,1.3463597
A,C,4.844277099999999
B,C,27.443135700000003
B,A,28.3575467
C,A,1.5573143999999999
A,B,3.9589451
C,B,1.3995376
A,C,5.0155832
B,C,27.3292579
B,A,26.9873953
C,A,1.4151012
A,B,4.2428431
C,B,1.4062758
A,C,6.4171481
B,C,27.9554825
B,A,26.9741027
C,A,1.411657
A,B,3.6685082
C,B,1.3562185
A,C,4.7956608
B,C,27.8827344
B,A,27.4107679
C,A,1.415316
A,B,3.6697295
C,B,1.340537
A,C,5.2588116
B,C,27.153568
B,A,28.0539095
C,A,1.4147610000000002
A,B,3.2257229
C,B,1.3927594
A,C,4.5165684
B,C,28.5784711
B,A,27.6917408
C,A,1.4098836000000001
A,B,3.4882448
C,B,1.3419552
A,C,4.681195099999999
B,C,28.0441103
B,A,27.4125135
C,A,1.4735479999999999
A,B,3.7434587
C,B,1.3428853
A,C,6.944791800000001
B,C,28.068739500000003
B,A,27.511911600000005
C,A,1.6810284
A,B,3.2681027
C,B,1.3356271
A,C,5.7986202
B,C,28.6958143
B,A,27.421922
C,A,1.3981063
A,B,3.4316699
C,B,1.3456037
A,C,6.5910213
B,C,27.0703096
B,A,27.3955627
C,A,1.4140538999999999
A,B,4.8696954
C,B,1.4083327
A,C,5.7271803
B,C,27.2533934
B,A,28.3514621
C,A,1.4162854
A,B,3.6841351
C,B,1.3425746
A,C,7.732993799999999
B,C,27.1104061
B,A,27.364554100000003
C,A,1.4221284
A,B,2.9138589
C,B,1.3389993999999998
A,C,6.382374700000001
B,C,29.554717
B,A,27.4826272
C,A,1.4088401000000002
A,B,3.9896633
C,B,1.3482807
A,C,8.352497900000001
B,C,29.1366883
B,A,27.2363287
C,A,1.4635658999999999
A,B,2.8464433999999996
C,B,1.4078176000000002
A,C,7.0118272
B,C,28.1203192
B,A,27.396733
C,A,1.4041518999999998
A,B,2.9306637
C,B,1.4086503
A,C,7.1512197
B,C,28.0384428
B,A,27.7371274
C,A,1.4867381
A,B,4.1783721
C,B,1.4008961000000002
A,C,5.252219599999999
B,C,27.3922343
B,A,27.7699226
C,A,1.3497877
A,B,4.1839114
C,B,1.3557751
A,C,7.9714863
B,C,28.8881067
B,A,27.2441216
C,A,1.3965268
A,B,3.392415
C,B,1.3438449
A,C,5.9924805
B,C,28.3946879
B,A,26.9691118
C,A,1.3462431
A,B,3.7069243
C,B,1.3478443000000002
A,C,5.5144129
B,C,27.314071
B,A,27.524383500000003
C,A,1.6399021
A,B,4.6953972
C,B,1.4136211
A,C,4.3304442000000005
B,C,27.5774239
B,A,27.3061961
C,A,1.4283915
A,B,3.766906
C,B,1.340523
A,C,6.671427799999999
B,C,28.444169300000002
B,A,27.2239228
C,A,1.405417
A,B,4.056072299999999
C,B,1.4048667
A,C,8.1234169
B,C,27.8628304
B,A,27.8903678
C,A,1.6637568999999999
A,B,4.0302619
C,B,1.3472323
A,C,10.630149000000001
B,C,28.0282168
B,A,27.6000614
C,A,1.3515771
A,B,2.9478748
C,B,1.3464952
A,C,12.3040948
B,C,28.3504642
B,A,27.2921082
C,A,1.3410028
A,B,4.3337297999999995
C,B,1.4077393
A,C,6.6954503
B,C,26.9512577
B,A,26.928745000000003
C,A,1.3495546999999999
A,B,3.4294182999999996
C,B,1.3500846000000002
A,C,6.3949749
B,C,27.1624849
B,A,27.369142999999998
C,A,1.4188316
A,B,3.4854867999999994
C,B,1.4023583999999998
A,C,5.6768951
B,C,28.2006597
B,A,28.513350699999997
C,A,1.3466319
A,B,3.0129464
C,B,1.35091
A,C,10.415809
B,C,28.105757099999998
B,A,28.383305199999995
C,A,1.4127747
A,B,2.7833928
C,B,1.4026606
A,C,9.551630300000001
B,C,27.8446555
B,A,27.1108355
C,A,1.7423894
A,B,5.8283667
C,B,1.4045424
A,C,8.5645698
B,C,27.739373200000003
B,A,27.4829904
C,A,1.3559743999999998
A,B,3.2946994
C,B,1.4068093000000002
A,C,10.3809942
B,C,29.1465473
B,A,27.7924804
C,A,1.4153521
A,B,3.3805872999999997
C,B,1.40203
A,C,6.9076105
B,C,29.9207025
B,A,28.4426649
C,A,1.4022583
A,B,4.669249
C,B,1.4283896
A,C,8.7131704
B,C,27.0404097
B,A,27.485709999999997
C,A,1.3607966
A,B,3.8084196000000006
C,B,1.408306
A,C,5.7858265
B,C,26.8826635
B,A,27.8223513
C,A,1.3573371
A,B,4.002491
C,B,1.3512363
A,C,8.357949099999999
B,C,28.1672522
B,A,27.721483199999998
C,A,1.4032781
A,B,3.5421839999999998
C,B,1.3422347
A,C,5.576989299999999
B,C,28.644783299999997
B,A,27.691343300000003
C,A,1.4015125
A,B,3.4941727999999994
C,B,1.4259706
A,C,5.9112073
B,C,28.0100017
B,A,28.2826294
C,A,1.3996251
A,B,3.7378671
C,B,1.3557823999999998
A,C,4.1559665
B,C,27.852205800000004
B,A,28.7135644
C,A,1.4180531
A,B,3.6163016000000003
C,B,1.4200029
A,C,5.9460899000000005
B,C,28.6292575
B,A,27.6246832
C,A,1.4010525
A,B,3.6654994
C,B,1.3551886999999998
A,C,5.7286103
B,C,28.4814302
B,A,27.9820106
C,A,1.3511541
A,B,3.9215409
C,B,1.3371531
A,C,4.9365404
B,C,28.415030600000005
B,A,26.8913218
C,A,1.3423121
A,B,3.8997337
C,B,1.4065591
A,C,5.9711037
B,C,29.2615021
B,A,28.0567527
C,A,1.348105
A,B,3.1891139
C,B,1.3447806
A,C,5.45744
B,C,29.508368800000003
B,A,27.436379499999997
C,A,1.3434368
A,B,3.0439257
C,B,1.4196536
A,C,4.8923259
B,C,27.4368584
B,A,31.7101194
C,A,1.3482178
A,B,2.7455894
C,B,1.4854204
A,C,5.8879531
B,C,27.187059100000003
B,A,28.006123
C,A,1.3605468
A,B,3.4378428
C,B,1.4807344999999998
A,C,5.536365099999999
B,C,26.8627368
B,A,28.65988
C,A,1.4070463
A,B,4.0559892
C,B,1.4477729
A,C,9.5073216
B,C,29.752650899999995
B,A,27.4536054
C,A,1.3428028
A,B,3.7284559
C,B,1.4097695
A,C,8.2322497
B,C,27.1563374
B,A,28.6794344
C,A,1.4778059
A,B,3.949914
C,B,1.3430295
A,C,5.380935
B,C,27.290299199999996
B,A,26.850212199999998
C,A,1.3446898999999999
A,B,3.8558116
C,B,1.3558993000000001
A,C,5.4368207
B,C,27.1912233
B,A,27.850913000000002
C,A,1.3626416
A,B,3.4138638
C,B,1.3909244
A,C,5.0398418
B,C,28.555467600000004
B,A,26.820525800000002
C,A,1.4250461
A,B,3.2851857000000004
C,B,1.4050426
A,C,5.338682700000001
B,C,29.018090100000002
B,A,27.2506424
C,A,1.3369896000000001
A,B,3.0586689
C,B,1.3988913
A,C,5.6397224
B,C,27.7853787
B,A,29.298055699999995
C,A,1.4273278
A,B,3.7931625
C,B,1.3474926
A,C,6.3921364
B,C,28.3431576
B,A,27.5167882
C,A,1.4086633999999998
A,B,3.2852649
C,B,1.4064329
A,C,8.605967699999999
B,C,27.5099578
B,A,26.8200116
C,A,1.3333343999999998
A,B,5.0884974000000005
C,B,1.3332873
A,C,6.9790497
B,C,27.623844599999998
B,A,27.6594245
C,A,1.4127295
A,B,4.4844838
C,B,1.3464871
A,C,7.7105238
B,C,27.7398419
B,A,27.550040000000003
C,A,1.3586194999999999
A,B,3.6668044
C,B,1.3543657
A,C,6.061482700000001
B,C,28.0703531
B,A,27.7962419
C,A,1.4046516000000002
A,B,2.8697517
C,B,1.3425581
A,C,8.2153783
B,C,28.1924273
B,A,27.435277199999998
C,A,1.3641621000000002
A,B,4.9926659
C,B,1.3391218
A,C,8.4495073
B,C,27.2412885
B,A,26.9492243
C,A,1.4085283000000002
A,B,3.6809417
C,B,1.3540256000000002
A,C,7.7989449
B,C,27.923288300000003
B,A,29.6522027
C,A,1.4594789
A,B,4.108894
C,B,1.3432066
A,C,9.0066814
B,C,26.8447059
B,A,28.2849812
C,A,1.4072226
A,B,3.7945346
C,B,1.4112997
A,C,8.848061900000001
B,C,28.853877
B,A,29.4237045
C,A,1.7557307
A,B,2.8458144
C,B,1.3530821000000002
A,C,7.0181909
B,C,29.7019598
B,A,27.305965000000004
C,A,1.4068034
A,B,3.4299324999999996
C,B,1.3508517
A,C,7.547608199999999
B,C,27.7459549
B,A,28.399533
C,A,1.5623125
A,B,4.3682161
C,B,1.3547503
A,C,8.8734679
B,C,28.1393055
B,A,27.440287199999997
C,A,1.3557348999999999
A,B,4.0527544
C,B,1.4112693
A,C,5.1107515
B,C,28.8494332
B,A,28.8471695
C,A,1.4087139
A,B,3.2452055
C,B,1.4082386
A,C,6.3151562000000006
B,C,27.480299199999997
B,A,27.9384886
C,A,1.4162948999999998
A,B,4.7450314
C,B,1.4140944
A,C,8.3836765
B,C,26.832447700000003
B,A,27.936949600000005
C,A,1.4155821
A,B,3.6035271
C,B,1.3565954
A,C,14.3479326
B,C,27.4264799
B,A,28.4954389
C,A,1.6337381
A,B,3.0141223999999998
C,B,1.3601513
A,C,6.922479
B,C,27.3813207
B,A,27.5879294
C,A,1.4052073
A,B,3.6030001000000005
C,B,1.424717
A,C,6.2355422
B,C,28.0254828
B,A,27.538305800000003
C,A,1.4236377
A,B,3.878921
C,B,1.4103756
A,C,5.2576941
B,C,28.121209999999998
B,A,28.7718167
C,A,1.3394464
A,B,4.3543314
C,B,1.4182362
A,C,6.6658982
B,C,27.222003100000002
B,A,27.703391800000002
C,A,1.5177947
A,B,3.9289171
C,B,1.4023556000000001
A,C,7.0803711
B,C,27.1057274
B,A,27.2705946
C,A,1.3539885
A,B,3.4800501
C,B,1.3886341
A,C,7.6733744
B,C,28.227480600000003
B,A,27.1811051
C,A,1.3381481
A,B,3.8680358
C,B,1.4266325
A,C,8.2717585
B,C,31.6636882
B,A,27.861140600000002
C,A,1.4812787
A,B,5.8408069000000005
C,B,1.3408588
A,C,5.8910485
B,C,28.121046600000003
B,A,26.8458064
C,A,1.3383774
A,B,3.7905256
C,B,1.4391245
A,C,8.346355
B,C,27.2402206
B,A,27.648078700000003
C,A,1.3516867000000001
A,B,3.6668181000000004
C,B,1.411123
A,C,7.0117339
B,C,30.9589294
B,A,27.911475699999997
C,A,1.3375933999999998
A,B,3.6201426
C,B,1.4748739
A,C,6.2800781
B,C,27.8867142
B,A,27.695449800000002
C,A,1.3559341
A,B,3.350766
C,B,1.3418443000000002
A,C,10.8032241
B,C,28.5558046
B,A,27.7959162
C,A,1.4782458
A,B,3.6195017999999997
C,B,1.4259888
A,C,6.165909
B,C,27.1721725
B,A,27.7032236
C,A,1.3904978
A,B,2.9357816000000003
C,B,1.4229995
A,C,6.7004114
B,C,28.096873
B,A,27.546496299999998
C,A,1.6888549
A,B,2.809637
C,B,1.3459413
A,C,5.8195727
B,C,28.291175
B,A,28.0168634
C,A,1.3433142
A,B,3.6762309999999996
C,B,1.4075388
A,C,8.0714019
B,C,28.9691637
B,A,27.2859078
C,A,1.3614109
A,B,3.5600813
C,B,1.4006054
A,C,7.6725804
B,C,27.7064962
B,A,28.7060956
C,A,1.3348239
A,B,3.5567104
C,B,1.3355941999999998
A,C,12.7809611
B,C,27.612878100000003
B,A,27.1984788
C,A,1.3548946000000002
A,B,3.3555542
C,B,1.3459973
A,C,8.1923572
B,C,29.5072587
B,A,28.007339399999996
C,A,1.4254136
A,B,3.2046368
C,B,1.3404168
A,C,16.2383699
B,C,29.737471600000003
B,A,27.0707306
C,A,1.4126568
A,B,3.6826714999999997
C,B,1.3319333
A,C,10.3238409
B,C,28.890617300000002
B,A,29.8399223
C,A,1.4268733
A,B,3.7298457999999997
C,B,1.4058883999999998
A,C,5.928042400000001
B,C,27.479233
B,A,27.750914899999998
C,A,1.4598763
A,B,3.7148564
C,B,1.4016361000000002
A,C,6.1553058
B,C,28.0023359
B,A,27.3453713
C,A,1.4020337
A,B,3.0661901
C,B,1.415152
A,C,5.0845528
B,C,27.7131906
B,A,28.2991304
C,A,1.4007062
A,B,3.4726619
C,B,1.346918
A,C,7.5361207
B,C,27.4451899
B,A,27.277407
C,A,1.4065003
A,B,3.9725845
C,B,1.3584332000000001
A,C,6.3050203
B,C,27.370856
B,A,28.5248867
C,A,1.3528089
A,B,3.684305
C,B,1.345313
A,C,8.183620900000001
B,C,29.5627043
B,A,26.7108957
C,A,1.354816
A,B,3.3161595
C,B,1.4012178999999998
A,C,7.8336974
B,C,26.880233500000003
B,A,27.5149093
C,A,1.4782572
A,B,2.4005895
C,B,1.4117083
A,C,12.7728515
B,C,27.6327104
B,A,27.509576
C,A,1.3462319999999999
A,B,3.6194945
C,B,1.7295852999999999
A,C,14.8195865
B,C,28.0795145
B,A,27.7544156
C,A,1.3506989
A,B,4.0494107
