Point1,Point2,Heuristics
A,C,12.322158
B,C,3.0566361
B,A,4.0800379
C,A,0.157373
A,B,1.5516477
C,B,0.15459610000000001
A,C,7.981727900000001
B,C,3.1151145
B,A,3.0465007
C,A,0.15652220000000003
A,B,1.5268209
C,B,0.15263239999999997
A,C,4.8637068
B,C,3.1519712
B,A,3.1110261
C,A,0.1570211
A,B,1.5474284
C,B,0.153949
A,C,5.3224005
B,C,3.1070059
B,A,3.1138594
C,A,0.1578296
A,B,1.5684356000000002
C,B,0.1556352
A,C,4.5859917999999995
B,C,3.239474
B,A,3.1675079
C,A,0.15775029999999998
A,B,1.5276545
C,B,0.1558086
A,C,5.5981258
B,C,3.1605472
B,A,3.0866163
C,A,0.15604229999999997
A,B,1.5448017
C,B,0.1562791
A,C,5.4527318
B,C,3.0573959
B,A,3.0823484
C,A,0.1642267
A,B,1.5492571000000002
C,B,0.1591582
A,C,4.7002903
B,C,3.0315322
B,A,3.1312718
C,A,0.1564097
A,B,1.5459722
C,B,0.1555466
A,C,4.4861808
B,C,3.0673278
B,A,3.0295859
C,A,0.1565285
A,B,1.5651606
C,B,0.1526618
A,C,5.3783845
B,C,3.2054635
B,A,3.0700465
C,A,0.1527376
A,B,1.5456801000000002
C,B,0.1528138
A,C,4.4551117
B,C,3.1233668
B,A,3.0740383999999996
C,A,0.1567232
A,B,1.5411957
C,B,0.1561355
A,C,4.3064819000000005
B,C,3.2306565
B,A,3.1319317000000004
C,A,0.1624375
A,B,1.5697067
C,B,0.1575262
A,C,4.297529
B,C,3.4308796
B,A,3.0953162
C,A,0.1572144
A,B,1.5461424
C,B,0.1576195
A,C,4.1292496
B,C,3.1184759
B,A,3.0237662
C,A,0.15604920000000003
A,B,1.5290878
C,B,0.1527321
A,C,6.4231796
B,C,3.1054054
B,A,3.0266792999999996
C,A,0.1549998
A,B,1.5470033
C,B,0.1570855
A,C,7.4158561
B,C,3.2030246
B,A,3.1421072999999997
C,A,0.1573566
A,B,1.5673827
C,B,0.1573914
A,C,7.8187813
B,C,4.573339900000001
B,A,3.0276621
C,A,0.1527821
A,B,1.5262209
C,B,0.1526366
A,C,12.4753258
B,C,3.0358176
B,A,3.0860708999999997
C,A,0.1554949
A,B,1.5471226999999999
C,B,0.1544848
A,C,9.0319762
B,C,3.1359981
B,A,3.0538426
C,A,0.15348820000000002
A,B,1.5454126
C,B,0.1527346
A,C,20.2774858
B,C,3.1477843
B,A,3.2119419999999996
C,A,0.1569132
A,B,1.5264151000000001
C,B,0.15614029999999998
A,C,11.3657985
B,C,3.1311093
B,A,3.0286812000000003
C,A,0.1559879
A,B,1.5268184
C,B,0.1554949
A,C,13.4688044
B,C,3.1194291
B,A,3.1416702
C,A,0.1530895
A,B,1.5663814
C,B,0.16033229999999998
A,C,6.1268356
B,C,3.1336411
B,A,3.2709897
C,A,0.1575741
A,B,1.526151
C,B,0.15616989999999997
A,C,9.9444695
B,C,3.1153956000000003
B,A,3.1883282000000004
C,A,0.1611729
A,B,1.5269606000000002
C,B,0.1563595
A,C,15.801851999999998
B,C,3.1087185
B,A,3.0879807999999995
C,A,0.1533918
A,B,1.5658975
C,B,0.1556303
A,C,20.8623866
B,C,3.1222874
B,A,3.0825209
C,A,0.1557727
A,B,1.527024
C,B,0.1565098
A,C,16.3566916
B,C,3.0500002
B,A,3.0391601
C,A,0.1570238
A,B,1.5464866
C,B,0.15258770000000002
A,C,9.604657000000001
B,C,3.0374111
B,A,3.081877
C,A,0.1531942
A,B,1.5469455
C,B,0.1621081
A,C,7.250172900000001
B,C,3.0924794999999996
B,A,3.0255825
C,A,0.152473
A,B,1.5499029
C,B,0.1574315
A,C,5.1644508
B,C,3.1041819999999998
B,A,3.8843646
C,A,0.1567941
A,B,1.5278193000000002
C,B,0.1617799
A,C,5.8000614
B,C,3.1571856
B,A,3.0818583
C,A,0.1525595
A,B,1.5258386
C,B,0.15783989999999998
A,C,11.6382293
B,C,3.1086601000000003
B,A,3.1073464
C,A,0.1528531
A,B,1.5663695
C,B,0.15680020000000003
A,C,23.4225495
B,C,3.1795962
B,A,3.1231971
C,A,0.154872
A,B,1.5283129
C,B,0.1611503
A,C,6.9234808
B,C,3.0832432
B,A,3.0431666
C,A,0.1549398
A,B,1.5257166000000002
C,B,0.1551989
A,C,6.840778599999999
B,C,3.0395105
B,A,3.2386396
C,A,0.15497070000000002
A,B,1.5459245000000001
C,B,0.1573165
A,C,5.4549579
B,C,3.0506799
B,A,3.2432486
C,A,0.1523739
A,B,1.5495278000000001
C,B,0.1574525
A,C,4.4627837
B,C,3.097978
B,A,3.2188432
C,A,0.1555898
A,B,1.5469932
C,B,0.155614
A,C,5.9398744
B,C,3.1066284
B,A,3.2175751
C,A,0.1548982
A,B,1.5474053
C,B,0.1573201
A,C,4.980245
B,C,3.1432578999999996
B,A,3.1172419999999996
C,A,0.1542925
A,B,1.5486468
C,B,0.1571985
A,C,4.4304261
B,C,3.082759
B,A,3.064151
C,A,0.1596629
A,B,1.5493496999999998
C,B,0.1548932
A,C,4.4035778
B,C,3.1495773
B,A,3.1265965000000002
C,A,0.1546171
A,B,1.5363577
C,B,0.1552468
A,C,4.5722181
B,C,3.1938572
B,A,3.0886623
C,A,0.1557828
A,B,1.5673821
C,B,0.1563425
A,C,5.2288461999999996
B,C,3.1406339
B,A,3.0491361
C,A,0.1529921
A,B,1.5480031
C,B,0.1559533
A,C,4.3681135
B,C,3.1001088
B,A,3.1118686
C,A,0.1576577
A,B,1.5277433
C,B,0.1543557
A,C,5.3974719
B,C,3.0856752999999997
B,A,3.0293547999999997
C,A,0.15593020000000002
A,B,1.5477423
C,B,0.1545997
A,C,8.954266699999998
B,C,3.1578386000000003
B,A,3.0664981
C,A,0.155776
A,B,1.5676662
C,B,0.1560185
A,C,10.786100099999999
B,C,3.9473553999999997
B,A,3.0778255
C,A,0.15347070000000002
A,B,1.5460834
C,B,0.15779079999999998
A,C,21.6287525
B,C,3.0795274
B,A,3.0397429
C,A,0.1558187
A,B,1.5286536
C,B,0.1545734
A,C,12.7197296
B,C,3.2212544
B,A,3.1495189
C,A,0.1583102
A,B,1.5279807
C,B,0.1575491
A,C,5.4690345
B,C,3.1085721
B,A,3.1022359
C,A,0.1577295
A,B,1.5497063999999998
C,B,0.15469979999999997
A,C,6.7365046
B,C,3.0630521
B,A,3.1571319
C,A,0.1578365
A,B,1.5304578000000002
C,B,0.1543505
A,C,9.6741552
B,C,3.1202287999999996
B,A,3.11734
C,A,0.1606518
A,B,1.5663462
C,B,0.156369
A,C,7.460524499999999
B,C,3.1205393
B,A,3.1416664
C,A,0.1580858
A,B,1.5726408
C,B,0.1545484
A,C,10.9531595
B,C,3.1506283
B,A,3.1349422
C,A,0.1618211
A,B,1.5463765
C,B,0.15991470000000002
A,C,13.316949900000001
B,C,3.1335502
B,A,3.1864103
C,A,0.1602567
A,B,1.5249198
C,B,0.15565009999999999
A,C,9.911119
B,C,3.1049095
B,A,3.1224016
C,A,0.162196
A,B,1.547703
C,B,0.15677349999999998
A,C,16.448462099999997
B,C,3.0705076
B,A,3.0454436
C,A,0.1558598
A,B,1.5256591
C,B,0.1556375
A,C,17.6623824
B,C,3.1047377
B,A,3.2491489
C,A,0.1581702
A,B,1.5487186000000002
C,B,0.1578437
A,C,7.9439314
B,C,3.1671098
B,A,3.1207881
C,A,0.1595922
A,B,1.5465896000000001
C,B,0.1589308
A,C,5.7180764
B,C,3.1045523
B,A,3.1010553
C,A,0.16177049999999998
A,B,1.5255503000000001
C,B,0.1566152
A,C,6.880169400000001
B,C,3.1187287
B,A,3.138697
C,A,0.1578829
A,B,1.5662673999999999
C,B,0.1557582
A,C,42.8501274
B,C,3.0720468999999997
B,A,3.1028731
C,A,0.15459270000000003
A,B,1.8686095
C,B,0.1524405
A,C,17.9448688
B,C,3.1196099
B,A,3.1547141
C,A,0.1560931
A,B,1.797527
C,B,0.1574
A,C,10.7022608
B,C,3.0898664
B,A,3.1426826
C,A,0.1546708
A,B,1.8265031000000003
C,B,0.1601473
A,C,18.3770758
B,C,3.1207724
B,A,3.0241437
C,A,0.1562652
A,B,1.8031254
C,B,0.1554651
A,C,17.7441558
B,C,3.1191016
B,A,3.1483825
C,A,0.1546652
A,B,1.7965967
C,B,0.1562392
A,C,31.6398114
B,C,3.1236045
B,A,3.1375694
C,A,0.15784520000000002
A,B,1.8198061
C,B,0.15503989999999998
A,C,33.8689529
B,C,3.1161336
B,A,3.1765981
C,A,0.1542894
A,B,1.7975965
C,B,0.1612958
A,C,11.170249499999999
B,C,3.0657321
B,A,3.1288707000000002
C,A,0.16160729999999998
A,B,1.7721876
C,B,0.154788
A,C,6.9014128
B,C,3.0712012000000004
B,A,3.0738654
C,A,0.15266029999999997
A,B,1.7974615
C,B,0.1658656
A,C,4.1661718
B,C,3.902676
B,A,3.1847361000000003
C,A,0.1572527
A,B,1.8488273000000002
C,B,0.1526152
A,C,12.5244396
B,C,3.2594499
B,A,3.1400976000000003
C,A,0.15257089999999998
A,B,1.8070291
C,B,0.16067160000000003
A,C,14.9655519
B,C,4.8523304
B,A,3.0868214
C,A,0.1563895
A,B,1.7975663
C,B,0.1548674
A,C,5.4701053
B,C,3.1164175
B,A,3.1191633
C,A,0.15522370000000002
A,B,1.7709407
C,B,0.15857449999999998
A,C,3.8114797
B,C,3.1002810000000003
B,A,3.0522526
C,A,0.1557895
A,B,1.7715511999999998
C,B,0.1531917
A,C,4.1011293
B,C,3.1542564
B,A,3.1181889
C,A,0.1595344
A,B,1.7727700000000002
C,B,0.1592928
A,C,5.671176999999999
B,C,3.1623952
B,A,3.220657
C,A,0.15257
A,B,1.7760339
C,B,0.1579732
A,C,6.8614513
B,C,3.0503131000000003
B,A,3.107932
C,A,0.1579277
A,B,1.8163104
C,B,0.1551747
A,C,6.2859317
B,C,3.1232291
B,A,3.0565762000000003
C,A,0.1548279
A,B,1.7948746
C,B,0.1544451
A,C,4.369692099999999
B,C,3.1644843
B,A,3.1984054
C,A,0.1554821
A,B,1.8192085999999998
C,B,0.1553734
A,C,4.0468151
B,C,3.2917224999999997
B,A,3.1323090000000002
C,A,0.156472
A,B,1.7730879
C,B,0.1567305
A,C,14.3005802
B,C,3.1173726000000004
B,A,3.0710583
C,A,0.1551915
A,B,1.7899745
C,B,0.1524697
A,C,11.3424538
B,C,3.2106388
B,A,3.1055731
C,A,0.15451379999999998
A,B,1.7708462
C,B,0.15715020000000002
A,C,12.0610015
B,C,3.6513611000000004
B,A,3.1151899
C,A,0.1558403
A,B,1.7750881
C,B,0.1544481
A,C,6.189991
B,C,3.1264812
B,A,3.0293083999999997
C,A,0.155239
A,B,1.7716379
C,B,0.1558852
A,C,5.562582099999999
B,C,3.0625759
B,A,3.113843
C,A,0.1546795
A,B,1.8435392
C,B,0.1590287
