Point1,Point2,PredictedCost
B,A,26.72299
C,A,0.7024914000000001
A,B,2.774921
C,B,1.0022342
A,C,6.0476556
B,C,27.083516
B,A,26.721513
C,A,0.76215044
A,B,2.7863141
C,B,0.9438939
A,C,6.0413502
B,C,27.049875
B,A,26.72594
C,A,0.7353045
A,B,2.7816895
C,B,0.9234376
A,C,6.0411774
B,C,27.07211
B,A,26.722896
C,A,0.77845827
A,B,2.784466
C,B,0.9253383
A,C,6.0468603
B,C,27.098495
B,A,26.738815999999996
C,A,0.7607571999999999
A,B,2.7817197
C,B,0.9512126000000001
A,C,6.0459808
B,C,27.069396
B,A,26.732272
C,A,0.73227063
A,B,2.8157935000000003
C,B,0.89862645
A,C,6.051711
B,C,27.111888
B,A,26.739228
C,A,0.6858647
A,B,2.8137151
C,B,0.9357162
A,C,6.0548156
B,C,27.114904
B,A,26.746857
C,A,0.7120453
A,B,2.8011896
C,B,1.1704542
A,C,6.051777
B,C,27.126595000000002
B,A,26.770197999999997
C,A,0.7143073
A,B,2.8180793
C,B,1.0031901
A,C,6.0311656
B,C,27.00684
B,A,26.755887
C,A,0.74503943
A,B,2.8739195
C,B,0.9387992000000001
A,C,6.043504
B,C,26.99853
B,A,26.793098
C,A,0.69929212
A,B,2.7203288
C,B,0.9324856
A,C,6.045661
B,C,27.022484
B,A,26.810712
C,A,0.66280887
A,B,2.8012961
C,B,0.9424336
A,C,6.0477015
B,C,27.051347
B,A,26.826686
C,A,0.65808
A,B,2.8022204
C,B,0.9246184999999999
A,C,6.0524516
B,C,27.120814000000003
B,A,26.837320000000002
C,A,0.72450787
A,B,2.7924448
C,B,0.9304881
A,C,6.1249442
B,C,27.128726
B,A,26.765179999999997
C,A,0.6894961
A,B,2.800037
C,B,0.9243593000000001
A,C,6.0882233
B,C,27.156309999999998
B,A,26.875186
C,A,0.6213039
A,B,2.7948476
C,B,0.9403169
A,C,6.1093833
B,C,27.190855
B,A,26.776534
C,A,0.8010432
A,B,2.842727
C,B,0.9206705
A,C,6.0722765
B,C,27.261418
B,A,26.824808
C,A,0.74346885
A,B,2.8237686
C,B,1.0753572
A,C,6.094241
B,C,27.21228
B,A,26.781315000000003
C,A,0.70914626
A,B,2.847838
C,B,0.9299949000000001
A,C,6.095588
B,C,27.214128000000002
B,A,26.867515
C,A,0.66510215
A,B,2.8169717999999997
C,B,0.9320907
A,C,6.0937352
B,C,27.14757
B,A,26.895154
C,A,0.6667286
A,B,2.8582513
C,B,0.9234302
A,C,6.0870370000000005
B,C,27.208993
B,A,26.928514
C,A,0.8930087
A,B,2.8922133
C,B,0.9321943
A,C,6.0910642
B,C,27.275628
B,A,26.871806
C,A,0.68689287
A,B,2.8184839
C,B,0.9568654
A,C,6.099853700000001
B,C,27.364236
B,A,26.814526
C,A,0.8566663
A,B,2.8703064
C,B,0.9577438
A,C,6.083612
B,C,27.20536
B,A,26.85948
C,A,0.67262724
A,B,2.8496906
C,B,0.90684295
A,C,6.0562484
B,C,26.949996000000002
B,A,26.656171999999998
C,A,0.63553303
A,B,2.6491415
C,B,0.7097340999999999
A,C,5.8399410000000005
B,C,26.956877
B,A,26.68723
C,A,0.48622340000000003
A,B,2.572849
C,B,0.75151175
A,C,5.896844000000001
B,C,26.882446
B,A,26.62257
C,A,0.6404318
A,B,2.5907043
C,B,0.8661911
A,C,5.9142171999999995
B,C,26.974502
B,A,26.612726000000002
C,A,0.6375104
A,B,2.6158117
C,B,0.9267017
A,C,5.926188
B,C,26.996478
B,A,26.65437
C,A,0.60548037
A,B,2.6453175
C,B,0.8762404
A,C,5.8457702
B,C,27.116162
B,A,26.628578
C,A,0.5940579
A,B,2.5978072999999995
C,B,0.8397855
A,C,5.909656
B,C,27.047998
B,A,26.6393
C,A,0.61332807
A,B,2.6519004
C,B,0.8501671
A,C,5.9431482
B,C,27.043974
B,A,26.644170000000003
C,A,0.6270319000000001
A,B,2.6102564999999998
C,B,0.8160487
A,C,6.135607
B,C,26.91331
B,A,26.64049
C,A,0.63811317
A,B,2.5539659
C,B,0.8850411
A,C,5.9467983
B,C,26.91049
B,A,26.64045
C,A,0.68886727
A,B,2.6575446
C,B,0.8797035
A,C,5.9499260000000005
B,C,26.927817
B,A,26.635855
C,A,0.6530732
A,B,2.6682109
C,B,0.8607678
A,C,5.95349
B,C,26.908916
B,A,26.669604
C,A,0.6539516
A,B,2.6923858
C,B,0.8723259
A,C,5.874198000000001
B,C,26.88983
B,A,26.67008
C,A,0.6441079
A,B,2.6770107
C,B,0.9110428
A,C,5.958178
B,C,26.901102
B,A,26.669633
C,A,0.70606843
A,B,2.681236
C,B,0.8523688
A,C,5.9605457
B,C,26.919395
B,A,26.669597999999997
C,A,0.63496977
A,B,2.6868887000000004
C,B,0.8545235000000001
A,C,5.959656
B,C,26.918077
B,A,26.679546000000002
C,A,0.6140083
A,B,2.690982
C,B,0.8618452
A,C,5.964792
B,C,26.917267
B,A,26.672578
C,A,0.6815888
A,B,2.6931033
C,B,0.9098545
A,C,5.9667986
B,C,26.946822
B,A,26.680607
C,A,0.6175384
A,B,2.6927939999999997
C,B,0.8890711
A,C,5.9680946
B,C,26.921862
B,A,26.701862
C,A,0.6269023
A,B,2.7090572
C,B,0.8480668
A,C,6.0775027
B,C,27.017840000000003
B,A,26.762587
C,A,0.61995164
A,B,2.7823802000000004
C,B,0.8542888
A,C,5.974362999999999
B,C,27.090657
B,A,26.720095
C,A,0.62196404
A,B,2.7391247000000005
C,B,0.8073024000000001
A,C,5.9516493
B,C,27.098364
B,A,26.787653999999996
C,A,0.67309067
A,B,2.692056
C,B,0.9942904
A,C,5.9818055
B,C,27.033746
B,A,26.678466999999998
C,A,0.6747134
A,B,2.7674876
C,B,0.8642851999999999
A,C,5.98358
B,C,27.068279999999998
B,A,26.711496999999998
C,A,0.6733641
A,B,2.7233448
C,B,0.9224363
A,C,6.0915362
B,C,27.07457
B,A,26.687855
C,A,0.7103175
A,B,2.7216718
C,B,0.8760668
A,C,6.0487058
B,C,26.96507
B,A,26.705432
C,A,0.6863758000000001
A,B,2.7675904
C,B,0.8729450000000001
A,C,5.9890077
B,C,27.032328000000003
B,A,26.729146
C,A,0.72520524
A,B,2.7345102
C,B,0.8703209000000001
A,C,5.9778366
B,C,27.233428000000004
B,A,26.714128000000002
C,A,0.69312975
A,B,2.7398578999999996
C,B,0.8577019
A,C,5.991766999999999
B,C,27.069872999999998
B,A,26.743332000000002
C,A,0.68956763
A,B,2.7729220000000003
C,B,0.9156957
A,C,5.975859
B,C,27.186108
B,A,26.827054999999998
C,A,0.6822288000000001
A,B,2.7388744
C,B,0.9074165999999999
A,C,6.013351999999999
B,C,27.124763
B,A,26.7444
C,A,0.6644562
A,B,2.7523167
C,B,0.8873306000000001
A,C,5.989696
B,C,27.069676
B,A,26.7706
C,A,0.63013136
A,B,2.7447253
C,B,0.8520684999999999
A,C,5.9867598
B,C,27.015918
B,A,26.775062
C,A,0.64311773
A,B,2.7439445
C,B,0.9021953
A,C,5.9919910000000005
B,C,26.999044
B,A,26.784184999999997
C,A,0.68905354
A,B,2.7458578
C,B,0.8423924
A,C,6.0005255
B,C,27.231035
B,A,26.773357
C,A,0.65618753
A,B,2.7607303
C,B,0.8779958
A,C,5.9855916
B,C,27.20132
B,A,26.74616
C,A,0.71517676
A,B,2.7706172
C,B,0.893341
A,C,6.011068
B,C,27.151436
B,A,26.807803
C,A,0.6624207
A,B,2.7497824
C,B,0.8967556000000001
A,C,6.038207
B,C,27.27358
B,A,26.757228
C,A,0.64967945
A,B,2.7869675
C,B,0.8726172
A,C,6.0154475
B,C,27.279020000000003
B,A,26.834422
C,A,0.71743876
A,B,2.7383938
C,B,0.8743793
A,C,6.030305
B,C,27.31952
B,A,26.872164
C,A,0.5972177
A,B,2.7981538
C,B,0.9395271999999999
A,C,6.0346622
B,C,27.441633000000003
B,A,26.755983
C,A,0.6964743
A,B,2.8043218
C,B,0.94031915
A,C,6.057686400000001
B,C,27.151763
B,A,26.804709999999996
C,A,0.66879466
A,B,2.7756892000000004
C,B,0.8760795
A,C,5.9862673
B,C,27.117923
B,A,26.84273
C,A,0.6185204
A,B,2.7606864
C,B,0.8885115
A,C,6.0440656
B,C,27.049387
B,A,26.868470000000002
C,A,0.64749494
A,B,2.7486257
C,B,0.9269886
A,C,6.0318142
B,C,27.22646
B,A,26.765697999999997
C,A,0.68639666
A,B,2.8161779
C,B,0.8977257
A,C,6.0621746
B,C,27.280307
B,A,26.583564000000003
C,A,0.5774975
A,B,2.5424533
C,B,0.76495633
A,C,5.861696
B,C,26.845053
B,A,26.591283
C,A,0.55688247
A,B,2.5590409
C,B,0.7922366
A,C,5.8695015
B,C,26.85104
B,A,26.589692
C,A,0.57428256
A,B,2.5847502
C,B,0.77792853
A,C,5.877296
B,C,26.843673
B,A,26.588857
C,A,0.6376095
A,B,2.5750302
C,B,0.7962227
A,C,5.8785617
B,C,26.823306
B,A,26.595540000000003
C,A,0.62000453
A,B,2.580364
C,B,0.7884689
A,C,5.880927
B,C,26.890832
B,A,26.611947999999998
C,A,0.5752623
A,B,2.5891196
C,B,0.7707052
A,C,5.882065
B,C,26.880515000000003
B,A,26.62945
C,A,0.56943297
A,B,2.592304
C,B,0.8009955
A,C,5.7884157
B,C,26.874483
B,A,26.635683
C,A,0.5910605
A,B,2.6007958
C,B,0.6930284000000001
A,C,5.836953
B,C,26.85957
B,A,26.649678
C,A,0.57577267
A,B,2.6013367
C,B,0.77364445
A,C,5.89855
B,C,27.064759999999996
B,A,26.60218
C,A,0.5311653
A,B,2.5714952
C,B,0.74334964
A,C,5.879554
B,C,27.0337
B,A,26.616221999999997
C,A,0.59019774
A,B,2.5979102000000003
C,B,0.8028507
A,C,5.893930999999999
B,C,26.989496
B,A,26.637477
C,A,0.5652383
A,B,2.6121061
C,B,0.91429055
A,C,5.899368
B,C,26.906282
B,A,26.642272
C,A,0.56664273
A,B,2.6171688
C,B,0.8041248
A,C,5.8337606
B,C,26.903582
B,A,26.662316999999998
C,A,0.61098114
A,B,2.624619
C,B,0.7521935
A,C,5.8545407
B,C,26.890182
B,A,26.674265
C,A,0.5641304
A,B,2.7266242
C,B,0.77572614
A,C,5.883363
B,C,26.974373999999997
B,A,26.615846
C,A,0.5757764
A,B,2.6035491000000004
C,B,0.7921793
A,C,5.8989763
B,C,27.033925
B,A,26.63011
C,A,0.5660802
A,B,2.6199192
C,B,0.8180968
A,C,5.910476999999999
B,C,26.975209999999997
B,A,26.645042999999998
C,A,0.59821233
A,B,2.561671
C,B,0.8128002
A,C,5.9209406
B,C,27.14916
B,A,26.638836
C,A,0.6066136
A,B,2.6418127
C,B,0.8048466999999999
A,C,5.918903
B,C,27.172843
B,A,26.7217
C,A,0.542143
A,B,2.6057083
C,B,0.78002587
A,C,5.9051465
B,C,27.058044
B,A,26.670843
C,A,0.57625473
A,B,2.6506081000000004
C,B,0.8217938
A,C,5.9235737
B,C,26.91077
B,A,26.662934000000003
C,A,0.585486
A,B,2.6547529
C,B,0.8398913
A,C,5.9168875
B,C,27.110863
B,A,26.728338
C,A,0.54005384
A,B,2.6368037
C,B,0.77273995
A,C,5.9159216
B,C,27.033323
B,A,26.662946
C,A,0.5590707
A,B,2.6925682999999996
C,B,0.8306681999999999
A,C,5.9297226
B,C,27.073154
B,A,26.652658
C,A,0.58985353
A,B,2.6636533
C,B,0.8405849
A,C,5.9326373
B,C,27.079684
B,A,26.666057000000002
C,A,0.61642155
A,B,2.689574
C,B,0.8408882
A,C,5.9318323
B,C,27.15491
B,A,26.658437
C,A,0.61193556
A,B,2.6670504
C,B,0.7966198
A,C,5.937777
B,C,27.118522
B,A,26.677585
C,A,0.6144746999999999
A,B,2.6024467999999996
C,B,0.8512184000000002
A,C,5.937678
B,C,26.93786
B,A,26.681793
C,A,0.66949204
A,B,2.6493631
C,B,0.81424415
A,C,5.9252884
B,C,26.97125
B,A,26.703262
C,A,0.5972199
A,B,2.680739
C,B,0.8463860000000001
A,C,5.925201
B,C,26.93362
B,A,26.71457
C,A,0.6643191
A,B,2.6848093
C,B,0.8097775
A,C,5.9283209999999995
B,C,26.928140000000003
B,A,26.701295
C,A,0.58816597
A,B,2.689571
C,B,0.81314
A,C,5.9332103
B,C,26.938874
B,A,26.708161999999998
C,A,0.67617595
A,B,2.691795
C,B,0.8389913
A,C,5.9374675
B,C,26.94529
B,A,26.70917
C,A,0.5931899
A,B,2.6971623
C,B,0.8126496999999999
A,C,5.9363566
B,C,26.971427000000002
B,A,26.723485999999998
C,A,0.59339106
A,B,2.6990703999999996
C,B,0.8606657
A,C,5.940068
B,C,26.958412
B,A,26.726294
C,A,0.5799219
A,B,2.6988182
C,B,0.8526862
A,C,5.9390903
B,C,26.94564
B,A,26.72296
C,A,0.58385804
A,B,2.6977379
C,B,0.8275673
A,C,5.931842
B,C,26.973203
B,A,26.737136
C,A,0.60381517
A,B,2.7020897999999995
C,B,0.86115375
A,C,5.931061
B,C,27.001065000000004
B,A,26.755118
C,A,0.56306273
A,B,2.6945394
C,B,0.8264370000000001
A,C,5.977031
B,C,26.977986
B,A,26.746267
C,A,0.59182644
A,B,2.696925
C,B,0.8369744
A,C,5.9621699999999995
B,C,27.014977
B,A,26.767622999999997
C,A,0.5855769
A,B,2.695186
C,B,0.8387095999999999
A,C,5.965082
B,C,26.98573
B,A,26.754463
C,A,0.6265223000000001
A,B,2.6946377
C,B,0.8263618
A,C,5.969462999999999
B,C,27.020590999999996
B,A,26.774755
C,A,0.6024137
A,B,2.6930168
C,B,0.8048482
A,C,5.976116
B,C,27.018738
B,A,26.78795
C,A,0.57303905
A,B,2.6955053
C,B,0.8503638
A,C,5.9904434
B,C,27.009428
B,A,26.780071999999997
C,A,0.61734095
A,B,2.6933398
C,B,0.8091129
A,C,5.979141200000001
B,C,27.041262
B,A,26.80261
C,A,0.56394264
A,B,2.6842251
C,B,0.84098205
A,C,5.9994288000000005
B,C,27.088565000000003
B,A,26.715146999999998
C,A,0.66454485
A,B,2.746839
C,B,0.8408472
A,C,5.9761368
B,C,27.15127
B,A,26.726753000000002
C,A,0.62428564
A,B,2.7359243
C,B,0.84095
A,C,5.956784
B,C,27.025127
B,A,26.776528000000003
C,A,0.5643867
A,B,2.7279772
C,B,0.829456
A,C,5.9596147
B,C,27.015895
B,A,26.774305
C,A,0.56247637
