Point1,Point2,PredictedCost
A,C,7.181211
B,C,27.415526
B,A,27.126253000000002
C,A,1.7762743000000003
A,B,4.222486
C,B,1.875975
A,C,7.248819
B,C,27.377856
B,A,27.111003000000004
C,A,1.867804
A,B,4.264151999999999
C,B,1.7700337
A,C,7.16264
B,C,27.30047
B,A,27.101386
C,A,1.8288672
A,B,4.1866314
C,B,1.8025286
A,C,7.180906
B,C,27.289304
B,A,27.099252000000003
C,A,1.8370531
A,B,4.2379446
C,B,1.8104650000000002
A,C,7.189746
B,C,27.309602
B,A,27.100736
C,A,1.8347941
A,B,4.1616105
C,B,1.8718034
A,C,7.2367564
B,C,27.329496000000002
B,A,27.16716
C,A,1.8157735
A,B,4.234186599999999
C,B,1.8940993000000002
A,C,7.255708
B,C,27.297157000000002
B,A,27.163840000000004
C,A,1.7981358
A,B,4.239001
C,B,1.9047460999999999
A,C,7.262992
B,C,27.286637
B,A,27.168703000000004
C,A,1.8188551
A,B,4.242561
C,B,1.8897064
A,C,7.30666
B,C,27.369428
B,A,27.177018
C,A,1.8045529999999999
A,B,4.260973
C,B,1.9484185
A,C,7.282482000000001
B,C,27.337688
B,A,27.13762
C,A,1.8530473
A,B,4.2600058
C,B,1.9328348
A,C,7.2821155
B,C,27.344184999999996
B,A,27.12242
C,A,1.8534153999999998
A,B,4.2718074999999995
C,B,1.9222080000000001
A,C,7.195009
B,C,27.313262
B,A,27.128273
C,A,1.8513806
A,B,4.267542
C,B,1.9359186000000002
A,C,7.29175
B,C,27.306783
B,A,27.122688
C,A,1.8534765
A,B,4.2703837
C,B,1.9103251
A,C,7.308657000000001
B,C,27.340752
B,A,27.137965
C,A,1.8537259999999998
A,B,4.2729817
C,B,1.9939058
A,C,7.21959
B,C,27.321514
B,A,27.123463
C,A,1.8403381
A,B,4.271707
C,B,1.8560626
A,C,7.239379
B,C,27.283722
B,A,27.135003
C,A,1.8212080000000002
A,B,4.269946
C,B,1.8335946
A,C,7.236116
B,C,27.30477
B,A,27.135085999999998
C,A,1.8919721
A,B,4.3002017
C,B,1.9187376
A,C,7.23244
B,C,27.344084
B,A,27.139008
C,A,1.833488
A,B,4.2818733
C,B,1.943969
A,C,7.234203999999999
B,C,27.313364
B,A,27.140355
C,A,1.9549742
A,B,4.2800687
C,B,1.8659308999999997
A,C,7.24655
B,C,27.298754
B,A,27.130932
C,A,1.8754505
A,B,4.2816807
C,B,1.89922
A,C,7.25304
B,C,27.394783
B,A,27.138546
C,A,1.856403
A,B,4.298965
C,B,2.0136327
A,C,7.278666
B,C,27.355137
B,A,27.14338
C,A,1.8478631999999997
A,B,4.289448
C,B,1.9071936999999999
A,C,7.291658999999999
B,C,27.37531
B,A,27.18289
C,A,1.8702462
A,B,4.2966194
C,B,1.9520596
A,C,7.313464
B,C,27.335697
B,A,27.17561
C,A,1.8300839
A,B,4.3045383
C,B,1.9463524
A,C,7.309377
B,C,27.3434
B,A,27.194262
C,A,1.8312939
A,B,4.307233999999999
C,B,1.9903108
A,C,7.313171
B,C,27.31521
B,A,27.197695
C,A,1.877959
A,B,4.3103489999999995
C,B,1.9398287
A,C,7.313986
B,C,27.3253
B,A,27.19708
C,A,1.8975586
A,B,4.308185
C,B,1.940392
A,C,7.313983
B,C,27.324855
B,A,27.166986
C,A,1.9101560000000002
A,B,4.318684999999999
C,B,1.9599891999999999
A,C,7.325260000000001
B,C,27.338624
B,A,27.174615999999997
C,A,1.8677756
A,B,4.3194550000000005
C,B,1.9766152
A,C,7.3328234
B,C,27.320522
B,A,27.172482000000002
C,A,1.8731453
A,B,4.3266290000000005
C,B,1.9993022
A,C,7.303160000000001
B,C,27.380013
B,A,27.17226
C,A,1.8708862000000002
A,B,4.325626799999999
C,B,1.9816406
A,C,7.330095
B,C,27.409375
B,A,27.159035
C,A,1.8659561999999998
A,B,4.321651999999999
C,B,2.0762973
A,C,7.296568
B,C,27.355697999999997
B,A,27.162325
C,A,1.9392982
A,B,4.3338187
C,B,2.0278178
A,C,7.3301300000000005
B,C,27.327582
B,A,27.162834999999998
C,A,1.8914296999999998
A,B,4.3390095
C,B,1.9837186000000002
A,C,7.3577635
B,C,27.448559999999997
B,A,27.18041
C,A,1.8776192999999999
A,B,4.335147
C,B,2.0528272000000003
A,C,7.334788
B,C,27.464852
B,A,27.17751
C,A,1.8986486
A,B,4.340692
C,B,1.9622155
A,C,7.344538000000001
B,C,27.454132
B,A,27.167562
C,A,1.941295
A,B,4.3165535
C,B,1.920116
A,C,7.323002
B,C,27.581114000000003
B,A,27.198833
C,A,1.9149779999999998
A,B,4.3525160000000005
C,B,1.9816235
A,C,7.355246000000001
B,C,27.435565000000004
B,A,27.183217
C,A,1.8811405
A,B,4.399249
C,B,1.9794054
A,C,7.3343985
B,C,27.457106
B,A,27.204441999999997
C,A,2.0144485
A,B,4.3544017
C,B,1.9804098
A,C,7.351327
B,C,27.418741999999998
B,A,27.169812
C,A,1.9085303
A,B,4.3441493
C,B,1.9573413
A,C,7.3417515
B,C,27.39026
B,A,27.188522
C,A,1.9268528000000003
A,B,4.3351367
C,B,1.9804313999999998
A,C,7.340364999999999
B,C,27.371427
B,A,27.196984999999998
C,A,1.8449068
A,B,4.3222167
C,B,1.9461364
A,C,7.348476
B,C,27.362654
B,A,27.197433
C,A,1.8314391
A,B,4.3115154
C,B,1.971849
A,C,7.356037
B,C,27.37065
B,A,27.218908
C,A,1.8201858
A,B,4.3460198
C,B,1.9773096
A,C,7.369023
B,C,27.375436
B,A,27.232736
C,A,1.9522607
A,B,4.3799203
C,B,2.0257227
A,C,7.37723
B,C,27.37233
B,A,27.237624
C,A,1.9013844
A,B,4.383450700000001
C,B,1.97853
A,C,7.366720599999999
B,C,27.395535
B,A,27.236116
C,A,1.9476667
A,B,4.3873854
C,B,1.990524
A,C,7.367924
B,C,27.393165
B,A,27.240816
C,A,1.767993
A,B,4.3859575
C,B,1.9939281000000002
A,C,7.369932
B,C,27.350473
B,A,27.242893
C,A,1.7787061999999998
A,B,4.394114
C,B,2.0034574
A,C,7.371643
B,C,27.386528000000002
B,A,27.258682
C,A,1.9010156000000002
A,B,4.3928944
C,B,2.0099372
A,C,7.3748946
B,C,27.38645
B,A,27.25082
C,A,1.9363776000000001
A,B,4.393115
C,B,2.0082079
A,C,7.3756084
B,C,27.408177
B,A,27.252321999999996
C,A,1.672361
A,B,4.1165024
C,B,1.7710432
A,C,7.153110000000001
B,C,27.231073
B,A,27.17507
C,A,1.6858398999999997
A,B,4.1321147
C,B,1.7797023
A,C,7.075672
B,C,27.196467
B,A,27.157748
C,A,1.7082654
A,B,4.1458637000000005
C,B,1.828175
A,C,7.175632000000001
B,C,27.24401
B,A,27.152663
C,A,1.7063119
A,B,4.1481413
C,B,1.8212683
A,C,7.259494
B,C,27.210602
B,A,27.12335
C,A,1.735738
A,B,4.1601785
C,B,1.8477686000000002
A,C,7.194656
B,C,27.224618
B,A,27.131087
C,A,1.786498
A,B,4.2408105
C,B,1.8521227
A,C,7.21481
B,C,27.292021999999996
B,A,27.100347999999997
C,A,1.7666534
A,B,4.1836187
C,B,1.9113585
A,C,7.1886495
B,C,27.328825
B,A,27.061146
C,A,1.7885654999999998
A,B,4.2097453
C,B,1.8700324
A,C,7.086978
B,C,27.266097
B,A,27.07401
C,A,1.7777368
A,B,4.187858
C,B,1.7783538
A,C,7.161271
B,C,27.282688
B,A,27.076017999999998
C,A,1.7879814
A,B,4.1616265
C,B,1.8035874
A,C,7.1889
B,C,27.259463
B,A,27.071398
C,A,1.8069804
A,B,4.173165
C,B,1.814957
A,C,7.19422
B,C,27.347702
B,A,27.147484000000002
C,A,1.7627477999999999
A,B,4.1835614
C,B,1.886332
A,C,7.209948
B,C,27.27819
B,A,27.135187
C,A,1.757507
A,B,4.202723000000001
C,B,1.8882729999999999
A,C,7.2252326
B,C,27.343434000000002
B,A,27.122446999999998
C,A,1.754114
A,B,4.204865
C,B,1.8425136999999998
A,C,7.2348006
B,C,27.334854
B,A,27.115709999999996
C,A,1.7978534
A,B,4.2143747
C,B,1.9119582999999998
A,C,7.240065
B,C,27.351534
B,A,27.122745000000002
C,A,1.782035
A,B,4.2130206
C,B,1.912763
A,C,7.25396
B,C,27.311027000000003
B,A,27.129447
C,A,1.7768681
A,B,4.215379799999999
C,B,1.8811456999999998
A,C,7.243139
B,C,27.318465999999997
B,A,27.103716
C,A,1.8256627
A,B,4.223289299999999
C,B,1.8841766
A,C,7.151160400000001
B,C,27.283108000000002
B,A,27.101043
C,A,1.8056989
A,B,4.2413436
C,B,1.899691
A,C,7.2244436
B,C,27.45874
B,A,27.109477000000002
C,A,1.7966017
A,B,4.2298622
C,B,1.87345
A,C,7.270271000000001
B,C,27.31818
B,A,27.103877
C,A,1.7822966
A,B,4.2344496
C,B,1.9387476
A,C,7.208995
B,C,27.281553000000002
B,A,27.104871999999997
C,A,1.8065676
A,B,4.086844999999999
C,B,1.8383838
A,C,7.22623
B,C,27.32821
B,A,27.095585999999997
C,A,1.8341355
A,B,4.2394347
C,B,1.9122168
A,C,7.2600126
B,C,27.366737
B,A,27.138673999999998
C,A,1.856742
A,B,4.247296
C,B,1.9250698
A,C,7.264765
B,C,27.333856
B,A,27.100270000000002
C,A,1.8159851000000002
A,B,4.240828
C,B,1.8874526
A,C,7.224844999999999
B,C,27.27313
B,A,27.108228000000004
C,A,1.8012061999999998
A,B,4.230525
C,B,1.8647872
A,C,7.245555
B,C,27.456588
B,A,27.12368
C,A,1.8319681
A,B,4.2600013
C,B,1.9834742
A,C,7.2716534
B,C,27.380133
B,A,27.129436
C,A,1.873836
A,B,4.2889725
C,B,1.9215748
A,C,7.271292
B,C,27.338921999999997
B,A,27.112442
C,A,1.801528
A,B,4.2361457
C,B,1.9592747
A,C,7.2571196
B,C,27.392012
B,A,27.145714
C,A,1.8390901
A,B,4.2723574
C,B,1.917962
A,C,7.304015
B,C,27.285638
B,A,27.131984000000003
C,A,1.8451586
A,B,4.2739086
C,B,1.9392498
A,C,7.283154
B,C,27.315605
B,A,27.125233
C,A,1.8436104
A,B,4.2755373
C,B,2.0437098999999996
A,C,7.2901666
B,C,27.317214
B,A,27.133545
C,A,1.8774003
A,B,4.2785864
C,B,1.9542560000000002
A,C,7.268066999999999
B,C,27.34983
B,A,27.146623
C,A,1.8991619999999998
A,B,4.378083
C,B,1.9274741
A,C,7.286733
B,C,27.322757
B,A,27.150022999999997
C,A,1.843904
A,B,4.2828225
C,B,1.8999830000000002
A,C,7.292656
B,C,27.31797
B,A,27.15124
C,A,1.8583663
A,B,4.2813417000000005
C,B,1.9393563
A,C,7.294975999999999
B,C,27.338213
B,A,27.158266
C,A,1.8003166
A,B,4.299001799999999
C,B,1.8919118
A,C,7.3356375
B,C,27.330178000000004
B,A,27.160352000000003
C,A,1.8646233
A,B,4.29131
C,B,1.9707903000000002
A,C,7.295426
B,C,27.33773
B,A,27.141306
C,A,1.834713
A,B,4.306123
C,B,1.9254528000000002
A,C,7.300223
B,C,27.349132
B,A,27.15847
C,A,2.4500764999999998
A,B,4.3029875
C,B,1.9769214
A,C,7.3241554
B,C,27.310756
B,A,27.131987
C,A,1.9019
A,B,4.27112
C,B,1.9058049
A,C,7.2866514
B,C,27.325052000000003
B,A,27.102034999999997
C,A,1.8789901999999998
A,B,4.2705566
C,B,1.9048192
A,C,7.288528
B,C,27.264956
B,A,27.14131
C,A,1.8122471999999998
A,B,4.2694762
C,B,1.8836773999999998
A,C,7.297969
B,C,27.313173
B,A,27.155972
C,A,1.8690772
A,B,4.2636313
C,B,1.9227131999999998
A,C,7.296394599999999
B,C,27.32904
B,A,27.158207
C,A,1.7752431
A,B,4.265057700000001
C,B,1.8798947
A,C,7.299461
B,C,27.328473
B,A,27.161455
C,A,1.83305
A,B,4.2954423
C,B,1.9107975
A,C,7.302353
B,C,27.3325
B,A,27.1604
C,A,1.7699748
A,B,4.269508999999999
C,B,1.9145578
A,C,7.306392999999999
B,C,27.333325
B,A,27.15962
C,A,1.7994978
A,B,4.282876
C,B,1.9349470000000002
A,C,7.306984
B,C,27.345059999999997
B,A,27.16207
C,A,1.9020446
A,B,4.2811476
C,B,1.9288734
A,C,7.325438
B,C,27.373493
B,A,27.18007
C,A,1.7857857
A,B,4.259047
C,B,1.9757807
A,C,7.3181674
B,C,27.380294
B,A,27.201492
C,A,1.7148867
A,B,4.337571
C,B,1.9345284
A,C,7.333778
B,C,27.40686
B,A,27.171153
C,A,1.8657118
A,B,4.333257
C,B,1.9297518
A,C,7.319446000000001
B,C,27.381152
B,A,27.174887
C,A,1.8524535
A,B,4.3322064
C,B,2.0081274
A,C,7.316232
B,C,27.43101
B,A,27.173240000000003
C,A,1.8604785
A,B,4.3211084
C,B,1.9544572
A,C,7.311748
B,C,27.284116
B,A,27.059936999999998
C,A,1.7093897
A,B,4.1060932
C,B,1.8403158
A,C,7.153848
B,C,27.244884
B,A,27.050435999999998
C,A,1.6900927
A,B,4.114207
C,B,1.8160902
A,C,7.163744
B,C,27.336568
B,A,27.013302000000003
C,A,1.8494003
A,B,4.1214142
C,B,1.7535873
A,C,7.094797
B,C,27.21547
B,A,27.003956
C,A,1.7787031999999998
A,B,4.0829975
C,B,1.7471097
A,C,7.1141146
B,C,27.221394
B,A,27.020413
C,A,1.8918715
A,B,4.130426399999999
C,B,1.8793017
A,C,7.153467999999999
B,C,27.246967
B,A,27.046302
C,A,1.7144583
A,B,4.132332
C,B,1.8202811
A,C,7.395678
B,C,27.229118
B,A,27.129525
C,A,1.7261818
A,B,4.190152
C,B,1.804357
A,C,7.1543660000000004
B,C,27.221626
B,A,27.073866
C,A,1.7235577
A,B,4.1452948
C,B,1.7925471
A,C,7.1762204
B,C,27.333876
B,A,27.042145
C,A,1.8118955
A,B,4.1105177
C,B,1.7609447
A,C,7.1377559999999995
B,C,27.2523
B,A,27.02575
C,A,1.758343
A,B,4.1217495
C,B,1.8066919999999997
A,C,7.153383
B,C,27.227363
B,A,27.058956
C,A,1.7182022000000001
A,B,4.14947
C,B,1.7920993000000003
A,C,7.169492
B,C,27.390724
B,A,27.037135
C,A,1.8030718
A,B,4.1578464
C,B,1.8287875
A,C,7.193161
B,C,27.274776
B,A,27.008736
C,A,1.7560228999999998
A,B,4.1630983
C,B,1.8967621
A,C,7.134718
B,C,27.229673
B,A,27.023363
C,A,1.7533705000000002
A,B,4.15809
C,B,1.8637665
A,C,7.138292
B,C,27.246228000000002
B,A,27.057743
C,A,1.8226348
A,B,4.160781200000001
C,B,1.8525175999999999
A,C,7.1592270000000005
B,C,27.215123
B,A,27.06903
C,A,1.7618388
A,B,4.166294
C,B,1.8702991
A,C,7.1467789999999995
B,C,27.226554999999998
B,A,27.06735
C,A,1.7286256000000002
A,B,4.1609716
C,B,1.8209957
A,C,7.089205000000001
B,C,27.220628
B,A,27.136326
C,A,1.7071463
A,B,4.0837713
C,B,1.8062763
A,C,7.1919434
B,C,27.206129999999998
B,A,27.11482
C,A,1.7641349999999998
A,B,4.175783
C,B,1.8511742
A,C,7.202663
B,C,27.251703000000003
B,A,27.0713
C,A,1.7228425
A,B,4.1827343
C,B,1.8175684
A,C,7.226062
B,C,27.240615999999996
B,A,27.069217
C,A,1.7705508
A,B,4.192473000000001
C,B,1.8016435
A,C,7.176326
B,C,27.255315
B,A,27.075052000000003
C,A,1.7707244
A,B,4.17191
C,B,1.820051
A,C,7.189889
B,C,27.26012
B,A,27.084386
C,A,1.7532088
A,B,4.160223
C,B,1.8033653000000003
A,C,7.194812
B,C,27.3139
B,A,27.110818
C,A,1.7744346999999998
A,B,4.1986708
C,B,1.9249812
A,C,7.286019
B,C,27.320915000000003
B,A,27.052867
C,A,1.7801143
A,B,4.18771
C,B,1.9020692
A,C,7.2138384
B,C,27.30279
B,A,27.090066999999998
C,A,1.7594114
A,B,4.1846044000000004
C,B,1.8836714
A,C,7.303087
B,C,27.258724
B,A,27.097732
C,A,1.8157616
A,B,4.2114995
C,B,1.8867351000000003
A,C,7.218843
B,C,27.240717
B,A,27.133672999999998
C,A,1.748161
A,B,4.2109190000000005
C,B,1.862847
A,C,7.264378
B,C,27.293032
B,A,27.090895
C,A,1.8259168000000001
A,B,4.1978355
C,B,1.8312417
A,C,7.225579
B,C,27.26466
B,A,27.108746999999997
C,A,1.7167427
A,B,4.1716658
C,B,1.8464029
A,C,7.2364725
B,C,27.365184000000003
B,A,27.101958000000003
C,A,1.8056959
A,B,4.2340003
C,B,1.8996886999999998
A,C,7.2373696
B,C,27.2418
B,A,27.100328
C,A,1.741355
A,B,4.2063657
C,B,1.8365584
A,C,7.2169505
B,C,27.394667
B,A,27.112734000000003
C,A,1.9025281000000003
A,B,4.2318806
C,B,2.0074584
A,C,7.252142999999999
B,C,27.328670000000002
B,A,27.08575
C,A,1.773338
A,B,4.1054446
C,B,1.874376
A,C,7.239884
B,C,27.27989
B,A,27.109313
C,A,1.7274149
A,B,4.182057
C,B,1.841911
A,C,7.495335000000001
B,C,27.321296999999998
B,A,27.133405
C,A,1.8256143
A,B,4.251485
C,B,1.9208357
A,C,7.247648
B,C,27.323005
B,A,27.136552
C,A,1.7744168999999999
A,B,4.2582974
C,B,1.8723153000000001
A,C,7.251169
B,C,27.354740000000003
B,A,27.1154
C,A,1.8383943
A,B,4.266553
C,B,1.9984790000000001
A,C,7.2482996
B,C,27.300343
B,A,27.114183
C,A,1.737699
A,B,4.2383417
C,B,1.8876738999999998
A,C,7.246046499999999
B,C,27.296752
B,A,27.098978
C,A,1.7886758
A,B,4.237998
C,B,1.9294873
A,C,7.242317
B,C,27.409077000000003
B,A,27.133536
C,A,1.7426133000000001
A,B,4.1980304
C,B,2.0252839
A,C,7.256981
B,C,27.348736
B,A,27.142166999999997
C,A,1.8108726
A,B,4.2649746
C,B,1.8624067
A,C,7.25889
B,C,27.406335
B,A,27.11779
C,A,1.772666
A,B,4.2388156
C,B,1.8812299
A,C,7.2466776
B,C,27.26122
B,A,27.13189
C,A,1.7623343
A,B,4.22868
C,B,1.8567756
A,C,7.2337925
B,C,27.300947999999998
B,A,27.147782
C,A,1.7572954
A,B,4.211884700000001
C,B,1.8328108
A,C,7.267967999999999
B,C,27.322346
B,A,27.132463
C,A,1.8286034
A,B,4.2130396
C,B,1.8468886999999998
A,C,7.286472
B,C,27.233863
B,A,27.145308
C,A,1.7642096
A,B,4.2137217
C,B,1.8458292
A,C,7.2731405
B,C,27.287737
B,A,27.161217
C,A,1.6889744
A,B,4.20335
C,B,1.940392
A,C,7.276636999999999
B,C,27.28463
B,A,27.200925
C,A,1.8089264999999999
A,B,4.281132
C,B,1.9521944
A,C,7.2206184
B,C,27.373505
B,A,27.084732000000002
C,A,1.6067594
A,B,4.0299684
C,B,1.7184272
A,C,7.166538
B,C,27.15367
B,A,27.059478000000002
C,A,1.6263254
A,B,4.2026262999999995
C,B,1.7599449
A,C,7.122425
B,C,27.227759999999996
B,A,27.01758
C,A,1.7946392
A,B,4.0704504
C,B,1.7454214
A,C,7.1123004
B,C,27.272683
B,A,26.982248
C,A,1.7592773000000002
A,B,4.07101
C,B,1.8140294
A,C,7.025905
B,C,27.20961
B,A,27.00777
C,A,1.6670235
A,B,4.0714882
C,B,1.646997
A,C,7.042565
B,C,27.198178
B,A,26.9903
C,A,1.6623132
A,B,4.0704485
C,B,1.6798846
A,C,7.0552245
B,C,27.358466
B,A,27.032506
C,A,1.6734331999999998
A,B,4.0202267
C,B,1.7692916
A,C,7.125361
B,C,27.25758
B,A,27.010593
C,A,1.7793580000000002
A,B,4.0767968
C,B,1.779531
A,C,7.1056664
B,C,27.268624
B,A,27.08599
C,A,1.7003566000000003
A,B,4.0748574
C,B,1.7696044999999998
A,C,7.1344174
B,C,27.195942
B,A,27.078456
C,A,1.6312823
A,B,4.031187999999999
C,B,1.7832004000000001
A,C,7.123653599999999
B,C,27.324206
B,A,27.046347
C,A,1.6483976999999999
A,B,4.086832
C,B,1.793874
A,C,7.1388185
B,C,27.224615
B,A,27.02337
C,A,1.6734913
A,B,4.1077066
C,B,1.7249264
A,C,7.108600999999999
B,C,27.243602000000003
B,A,27.029532
C,A,1.6526878
A,B,4.0917224999999995
C,B,1.756268
A,C,7.123196000000001
B,C,27.33251
B,A,27.034712
C,A,1.6552798
A,B,4.1054353
C,B,1.8002383000000002
A,C,7.149455
B,C,27.360165000000002
B,A,27.030617
C,A,1.6752712
A,B,4.105654400000001
C,B,1.747597
A,C,7.136247999999999
B,C,27.230566999999997
B,A,27.088737
C,A,1.6568504
A,B,4.117598
C,B,1.7769456000000001
A,C,7.145826
B,C,27.357846
B,A,27.030152
C,A,1.6547583
A,B,4.1195013
C,B,1.752384
A,C,7.12516
B,C,27.332896
B,A,27.019029999999997
C,A,1.690568
A,B,4.0375832
C,B,1.7705858
A,C,7.1567945
B,C,27.286103000000004
B,A,27.088428
C,A,1.6634092
A,B,4.129929
C,B,1.7679653999999998
A,C,7.157306
B,C,27.378875
B,A,27.034295
C,A,1.7427295
A,B,4.1251050000000005
C,B,1.825063
A,C,7.170217999999999
B,C,27.613288
B,A,27.052784
C,A,1.699832
A,B,4.1644625
C,B,1.8222146
A,C,7.131459
B,C,27.440268
B,A,27.054244
C,A,1.7620444
A,B,4.1373
C,B,1.7762512
A,C,7.186367999999999
B,C,27.26359
B,A,27.045077000000003
C,A,1.6992584
A,B,4.122814
C,B,1.7932959
A,C,7.1540534
B,C,27.312544
B,A,27.066779999999998
C,A,1.709316
A,B,4.152464
C,B,1.8367536
A,C,7.174797
B,C,27.303502
B,A,27.100634999999997
C,A,2.1071352
A,B,4.1682966
C,B,1.8114
A,C,7.180315
B,C,27.257842
B,A,27.067297999999997
C,A,1.7165921999999998
A,B,4.160781200000001
C,B,1.8158853
A,C,7.177633
B,C,27.307183
B,A,27.05275
C,A,1.7760328999999997
A,B,4.153604799999999
C,B,1.848901
A,C,7.142712
B,C,27.32454
B,A,27.047121999999998
C,A,1.7096727999999999
A,B,4.1369922
C,B,1.7637312
A,C,7.169434
B,C,27.332753
B,A,27.084845
C,A,1.651194
A,B,4.11482
C,B,1.9070759999999998
A,C,7.184629
B,C,27.25978
B,A,27.078073999999997
C,A,1.6325966
A,B,4.2802602
C,B,1.801654
A,C,7.191679
B,C,27.272102
B,A,27.090234
C,A,1.8043703999999998
A,B,4.2062443
C,B,1.7925441000000002
A,C,7.204538
B,C,27.266043
B,A,27.092656
C,A,1.7968468
A,B,4.1833863
C,B,1.8228725
A,C,7.195819999999999
B,C,27.287965999999997
B,A,27.099168
C,A,1.7084546
A,B,4.185807700000001
C,B,1.7881557000000001
A,C,7.197412
B,C,27.249104
B,A,27.100796000000003
C,A,1.8025622
A,B,4.1270267
C,B,1.8381029999999998
A,C,7.202569400000001
B,C,27.2918
B,A,27.065194
C,A,1.7247088
A,B,4.1681774
C,B,1.8287748
A,C,7.1937869999999995
B,C,27.267292
B,A,27.087384
C,A,1.7376214
A,B,4.155985
C,B,1.8078558
A,C,7.179715
B,C,27.23713
B,A,27.079687
C,A,1.690194
A,B,4.010176
C,B,1.870513
A,C,7.203185
B,C,27.370590000000004
B,A,27.109993
C,A,1.7049104
A,B,4.200616
C,B,1.8290490000000001
A,C,7.186966
B,C,27.358478
B,A,27.052402
C,A,1.7115697
A,B,4.1641010000000005
C,B,1.7761603
A,C,7.176742
B,C,27.463615
B,A,27.122359999999997
C,A,1.7057285
A,B,4.208719
C,B,1.8265702000000001
A,C,7.212253
B,C,27.482185
B,A,27.093315000000004
C,A,1.7469041
A,B,4.200933
C,B,1.7887414
A,C,7.1995949999999995
B,C,27.423733000000002
B,A,27.10757
C,A,1.6484827000000002
A,B,4.147264
C,B,1.7957330000000002
A,C,7.219419
B,C,27.489420000000003
B,A,27.121920000000003
C,A,1.703012
A,B,4.2152926
C,B,1.8348098000000002
A,C,7.218344500000001
B,C,27.436291999999998
B,A,27.09478
C,A,1.7734021
A,B,4.1064348
C,B,1.823555
A,C,7.2257444
B,C,27.34657
B,A,27.117187
C,A,1.7453082
A,B,4.221781299999999
C,B,1.819449
A,C,7.229203999999999
B,C,27.338353
B,A,27.11473
C,A,2.0056598
A,B,4.1351434000000005
C,B,1.8272705000000002
A,C,7.20764
B,C,27.23568
B,A,26.960134999999998
C,A,1.5799887
A,B,4.0063567
C,B,1.7292358
A,C,7.125122
B,C,27.153057
B,A,26.9462
C,A,1.631976
A,B,3.963513
C,B,1.6633436
A,C,7.0348725
B,C,27.157456
B,A,26.93882
C,A,1.6395979
A,B,3.97161
C,B,1.6076780000000002
A,C,7.021214
B,C,27.181393
B,A,27.027386
C,A,1.5509403999999998
A,B,4.002714
C,B,1.6946830000000002
A,C,7.0663325
B,C,27.17424
B,A,27.00583
C,A,1.6021326
A,B,4.012773
C,B,1.7256983
A,C,7.061993
B,C,27.326164000000002
B,A,26.971298
C,A,1.6256459
A,B,4.0276796
C,B,1.7229512
A,C,7.0743789999999995
B,C,27.2349
B,A,26.972094
C,A,1.5816294
A,B,4.0027156
C,B,1.711426
A,C,7.0463225
B,C,27.170825
B,A,27.029684000000003
C,A,1.6429551
A,B,4.0293224
C,B,1.7057740000000001
A,C,7.0662156
B,C,27.169967
B,A,27.04147
C,A,2.0958029
A,B,3.99424
C,B,1.7419606
A,C,7.0811905
B,C,27.139926000000003
B,A,26.986223
C,A,1.6102530000000002
A,B,4.036855
C,B,1.715888
A,C,7.0809565
B,C,27.153498
B,A,27.022129999999997
C,A,1.5791722
A,B,4.0351328
C,B,1.7336115
A,C,7.082808
B,C,27.16875
B,A,27.013496
C,A,1.6329572
A,B,4.0378794000000005
C,B,1.7443523
A,C,7.08592
B,C,27.165064
B,A,27.047718
C,A,1.5761591
A,B,4.043152
C,B,1.7867244999999998
A,C,7.0840380000000005
B,C,27.164823
B,A,27.050316
C,A,1.5875205
A,B,4.0414985
C,B,1.7538741000000002
A,C,7.095102
B,C,27.149677
B,A,27.005333
C,A,1.5873313
A,B,4.050631399999999
C,B,1.7119877000000001
A,C,7.085876
B,C,27.16961
B,A,27.03551
C,A,1.5867554
A,B,4.0944576
C,B,1.6971916
A,C,7.09044
B,C,27.169973
B,A,27.03887
C,A,1.6189449
A,B,4.0568292
C,B,1.7316468
A,C,7.094017999999999
B,C,27.17029
B,A,27.059525
C,A,1.6252063
A,B,4.0711064
C,B,1.772479
A,C,7.097275
B,C,27.170837
B,A,27.037114
C,A,1.679127
A,B,4.063858
C,B,1.7234288
A,C,7.102530000000001
B,C,27.188975
B,A,27.058735
C,A,1.6608916
A,B,4.0664244
C,B,1.7556109
A,C,7.1016520000000005
B,C,27.195913
B,A,27.050495
C,A,1.6358905000000001
A,B,4.080913
C,B,1.7305896
A,C,7.1023755
B,C,27.157456
B,A,27.02427
C,A,1.6044207
A,B,4.069275
C,B,1.7433517
A,C,7.1312636
B,C,27.163845000000002
B,A,27.019965999999997
C,A,1.6800843
A,B,4.141173
C,B,1.7747238
A,C,7.112553
B,C,27.183813
B,A,27.04084
C,A,1.6420096
A,B,4.1770443
C,B,1.745323
A,C,7.112419
B,C,27.186352
B,A,27.038109999999996
C,A,1.636061
A,B,4.0796094
C,B,1.7346911
A,C,7.116604
B,C,27.19835
B,A,27.02753
C,A,1.6567424
A,B,4.0916212
C,B,1.7960772
A,C,7.1153075
B,C,27.22342
B,A,27.039754
C,A,1.6170986
A,B,4.0889394
C,B,1.7513938000000002
A,C,7.1202494
B,C,27.223158
B,A,27.020562
C,A,1.6531415
A,B,4.0911525
C,B,1.7819583
A,C,7.1221925
B,C,27.275544
B,A,27.02458
C,A,1.6233861
A,B,4.077676
C,B,1.733917
A,C,7.118492599999999
B,C,27.180737
B,A,27.02453
C,A,1.6693069999999999
A,B,4.0799074
C,B,1.7244175
A,C,7.1154649999999995
B,C,27.43128
B,A,27.033114
